Type,Requirement,Reward
MonsterKill,"100,1000,1e4,1e5,1e6","5,10,15,25,50"
CollectGold,"1e15,1e75,1e150,1e1000,1e1500","5,10,15,25,50"
UnlockHeroes,"3,10,20,31,37","5,10,15,25,50"
HelperDPS,"1e15,1e200,1e500,1e1000,1e3000","5,10,15,25,50"
BossKill,"100,1000,1e4,1e5,5e5","5,10,15,25,50"
TapCount,"1000,1e4,1e5,1e6,1e7","5,10,15,25,50"
HelperLevels,"500,5000,5e4,5e5,5e6","5,10,15,25,50"
Chesterson,"10,500,1e4,5e4,2e5","5,10,15,25,50"
FairyCount,"50,100,500,5000,5e4","5,10,15,25,50"
JumpAttackCount,"6,80,400,6000,6e4","5,10,15,25,50"
ReachStage,"100,550,3000,1e4,5e4","5,10,15,25,50"
CriticalCount,"10,500,5000,5e4,5e5","5,10,15,25,50"
ParticipatedTournament,"1,10,25,50,100","5,10,15,25,50"
PetLevel,"20,60,300,1000,3000","5,10,15,25,50"
EquipmentCollected,"20,100,500,1000,3000","5,10,15,25,50"
TotalSkillPoints,"3,15,100,500,1000","5,10,15,25,50"
Manny,"10,100,1000,5000,1e4","5,10,15,25,50"
PrestigeCount,"3,10,80,300,800","5,10,15,25,50"
CollectRelics,"100,1e5,1e15,1e30,1e70","5,10,15,25,50"
OwnArtifacts,"3,10,30,60,90","5,10,15,25,50"
Weapons,"3,15,150,400,600","5,10,15,25,50"
Perk,"6,18,70,300,500","25,50,75,150,300"
