SkillID,ManaCost1,ManaCost2,ManaCost3,ManaCost4,ManaCost5,BonusTypeA,A1,A2,A3,A4,A5,BonusTypeB,B1,B2,B3,B4,B5
BurstDamage,180,250,335,450,600,BurstDamageSkillAmount,10,100,1000,10000,100000,BurstSkillStageSkipMult,1.46,1.7,1.94,2.18,2.27
CritBoost,350,500,800,1300,1750,CritBoostSkillAmount,10,100,1000,10000,100000,UltraDaggerCooldownMult,0.94,0.88,0.82,0.76,0.74
HandOfMidas,350,500,800,1300,1750,HandOfMidasSkillAmount,100,10000,1000000,100000000,1000000000,GoldSpecialty,10,100,1000,10000,50000
TapBoost,350,500,800,1300,1750,TapBoostSkillAmount,10,100,1000,10000,100000,PetQTECooldownMult,0.97,0.95,0.92,0.9,0.89
HelperBoost,350,500,800,1300,1750,HelperBoostSkillAmount,10,100,1000,10000,100000,HelperBoostCompanionAttackRate,1.1,1.2,1.32,1.45,1.5
ShadowClone,350,500,800,1300,1750,ShadowCloneSkillAmount,10,100,1000,10000,100000,ShadowCloneBossSplash,0.05,0.1,0.15,0.2,0.22
DualPet,350,500,800,1300,1750,DualPetAmount,10,100,1000,10000,100000,DualPetStageSkipMult,1.02,1.04,1.06,1.08,1.09
StreamOfBlades,350,500,800,1300,1750,StreamOfBladesSkillAmount,10,100,1000,10000,100000,UltraDaggerStageSkip,2,4,6,8,9
ThunderVolley,350,500,800,1300,1750,ThunderVolleySkillAmount,10,100,1000,10000,100000,ClanShipBatteryCoefficient,1.25,1.5,1.75,2,2.1
TwilightFairy,350,500,800,1300,1750,TwilightFairySkillAmount,10,100,1000,10000,100000,SorcererStageSkipMult,1.05,1.1,1.15,1.2,1.21
