ChestType,Tier,RewardCategoryTier,RewardTier,ChanceTier
AdChest,tier1,Equipment,Equipment:1,0.600
AdChest,tier1,Equipment,Equipment:2,0.250
AdChest,tier1,Equipment,Equipment:3,0.150
AdChest,tier1,Diamonds,Diamonds:1,0.450
AdChest,tier1,Diamonds,Diamonds:2,0.100
AdChest,tier1,Diamonds,Diamonds:3,0.100
AdChest,tier1,Diamonds,None,0.350
AdChest,tier1,Pet,PetsLvl1:1,0.150
AdChest,tier1,Pet,None,0.850
AdChest,tier1,Perk,Perk:1,0.020
AdChest,tier1,Perk,None,0.980
AdChest,tier1,Alchemy,Alchemy:1,1.000
AdChest,tier2,Equipment,Equipment:1,0.700
AdChest,tier2,Equipment,Equipment:3,0.200
AdChest,tier2,Equipment,Equipment:4,0.100
AdChest,tier2,Diamonds,Diamonds: 2,0.500
AdChest,tier2,Diamonds,Diamonds: 5,0.150
AdChest,tier2,Diamonds,Diamonds: 10,0.050
AdChest,tier2,Diamonds,None,0.300
AdChest,tier2,Pet,PetsLvl1:1,0.170
AdChest,tier2,Pet,None,0.830
AdChest,tier2,RaidCardCurrency,RaidCardCurrency:25,0.250
AdChest,tier2,RaidCardCurrency,RaidCardCurrency:50,0.100
AdChest,tier2,RaidCardCurrency,None,0.650
AdChest,tier2,Perk,Perk:1,0.030
AdChest,tier2,Perk,None,0.970
AdChest,tier2,Alchemy,Alchemy:1,1.000
AdChest,tier3,Equipment,Equipment:2,0.700
AdChest,tier3,Equipment,Equipment:3,0.200
AdChest,tier3,Equipment,Equipment:5,0.100
AdChest,tier3,Diamonds,Diamonds:5,0.500
AdChest,tier3,Diamonds,Diamonds:10,0.200
AdChest,tier3,Diamonds,Diamonds:20,0.050
AdChest,tier3,Diamonds,None,0.250
AdChest,tier3,Pet,PetsLvl1:1,0.200
AdChest,tier3,Pet,None,0.750
AdChest,tier3,RaidCardCurrency,RaidCardCurrency:25,0.400
AdChest,tier3,RaidCardCurrency,RaidCardCurrency:50,0.150
AdChest,tier3,RaidCardCurrency,RaidCardCurrency:100,0.050
AdChest,tier3,RaidCardCurrency,None,0.400
AdChest,tier3,Perk,Perk:1,0.050
AdChest,tier3,Perk,None,0.950
AdChest,tier3,Alchemy,Alchemy:1,1.000
AdChestFree,tier1,Diamonds,Diamonds:1,0.400
AdChestFree,tier1,Diamonds,Diamonds:3,0.600
AdChestFree,tier1,Equipment,Equipment:1,0.300
AdChestFree,tier1,Equipment,None,0.700
AdChestFree,tier1,Pet,PetsLvl1:1,0.050
AdChestFree,tier1,Pet,None,0.950
AdChestFree,tier1,Perk,Perk:1,0.010
AdChestFree,tier1,Perk,None,0.990
AdChestFree,tier1,Alchemy,Alchemy:1,1.000
AdChestDiamonds,tier1,Diamonds,Diamonds:5,0.850
AdChestDiamonds,tier1,Diamonds,Diamonds:10,0.100
AdChestDiamonds,tier1,Diamonds,Diamonds:20,0.050
AdChestDiamonds,tier1,Perk,Perk:1,0.050
AdChestDiamonds,tier1,Perk,None,0.950
AdChestDiamonds,tier2,Diamonds,Diamonds:10,0.750
AdChestDiamonds,tier2,Diamonds,Diamonds:20,0.150
AdChestDiamonds,tier2,Diamonds,Diamonds:25,0.100
AdChestDiamonds,tier2,Perk,Perk:1,0.100
AdChestDiamonds,tier2,Perk,None,0.900
AdChestDiamonds,tier3,Diamonds,Diamonds:20,0.550
AdChestDiamonds,tier3,Diamonds,Diamonds:25,0.200
AdChestDiamonds,tier3,Diamonds,Diamonds:50,0.250
AdChestDiamonds,tier3,Perk,Perk:1,0.150
AdChestDiamonds,tier3,Perk,None,0.850
AdChestPets,tier1,Pet,PetsLvl1:1,0.900
AdChestPets,tier1,Pet,PetsLvl1:3,0.100
AdChestPets,tier1,SeasonalPet,SeasonalPetsLvl1:3,1.000
AdChestPets,tier2,Pet,PetsLvl1:1,0.700
AdChestPets,tier2,Pet,PetsLvl1:3,0.200
AdChestPets,tier2,Pet,PetsLvl1:5,0.100
AdChestPets,tier2,SeasonalPet,SeasonalPetsLvl1:3,0.700
AdChestPets,tier2,SeasonalPet,SeasonalPetsLvl1:4,0.200
AdChestPets,tier2,SeasonalPet,SeasonalPetsLvl1:5,0.100
AdChestPets,tier3,Pet,PetsLvl1:2,0.840
AdChestPets,tier3,Pet,PetsLvl1:5,0.100
AdChestPets,tier3,Pet,PetsLvl1:10,0.060
AdChestPets,tier3,SeasonalPet,SeasonalPetsLvl1:5,0.400
AdChestPets,tier3,SeasonalPet,SeasonalPetsLvl1:6,0.300
AdChestPets,tier3,SeasonalPet,SeasonalPetsLvl1:7,0.200
AdChestPets,tier3,SeasonalPet,SeasonalPetsLvl1:10,0.100
