RewardID,TotalPointsRequired,RewardString
0,15,Diamonds:50
1,50,SkillPoint:1
2,200,RaidWildcard:10
3,800,PetsLvl5:1
4,1500,EquipmentShards:5
5,2900,Diamonds:200
6,5400,SkillPoint:5
7,8000,RaidWildcard:20
8,10000,PetsLvl5:1
9,14000,EquipmentShards:5
10,20000,Diamonds:200
11,28000,SkillPoint:5
12,40000,RaidWildcard:20
13,52000,PetsLvl5:1
14,68000,EquipmentShards:5
15,87500,Diamonds:200
16,105000,SkillPoint:5
17,130000,RaidWildcard:20
18,160000,PetsLvl5:1
19,190000,EquipmentShards:5
20,225000,Diamonds:200
21,260000,SkillPoint:5
22,300000,RaidWildcard:20
23,340000,PetsLvl5:1
24,370000,EquipmentShards:5
25,470000,Diamonds:200
26,650000,SkillPoint:5
27,875000,RaidWildcard:20
28,1100000,PetsLvl5:1
29,1300000,EquipmentShards:5
30,1575000,Diamonds:200
31,1850000,SkillPoint:5
32,2150000,RaidWildcard:20
33,2450000,PetsLvl5:1
34,2750000,EquipmentShards:5
35,3050000,Diamonds:200
36,3500000,SkillPoint:5
37,4000000,RaidWildcard:20
38,4500000,PetsLvl5:1
39,5000000,EquipmentShards:5
40,5600000,Diamonds:1000
