Count,RelicCost
1,1.000E+00
2,3.000E+00
3,6.000E+00
4,1.100E+01
5,1.900E+01
6,3.000E+01
7,4.600E+01
8,6.900E+01
9,1.020E+02
10,1.480E+02
11,2.140E+02
12,3.060E+02
13,4.340E+02
14,6.130E+02
15,8.610E+02
16,1.200E+03
17,1.680E+03
18,2.320E+03
19,3.210E+03
20,4.430E+03
21,6.090E+03
22,8.360E+03
23,1.145E+04
24,1.566E+04
25,2.136E+04
26,2.911E+04
27,3.960E+04
28,5.380E+04
29,7.299E+04
30,9.891E+04
31,1.339E+05
32,1.811E+05
33,2.446E+05
34,3.301E+05
35,4.452E+05
36,5.999E+05
37,8.077E+05
38,1.090E+06
39,1.460E+06
40,1.960E+06
41,2.800E+06
42,4.270E+06
43,6.550E+06
44,1.008E+07
45,1.561E+07
46,2.429E+07
47,3.799E+07
48,5.971E+07
49,9.433E+07
50,1.498E+08
51,2.390E+08
52,3.833E+08
53,6.178E+08
54,1.000E+09
55,1.630E+09
56,2.670E+09
57,4.380E+09
58,7.240E+09
59,1.203E+10
60,2.008E+10
61,3.368E+10
62,5.676E+10
63,9.614E+10
64,1.637E+11
65,2.799E+11
66,3.850E+12
67,5.318E+13
68,7.383E+14
69,1.030E+16
70,1.440E+17
71,2.030E+18
72,2.880E+19
73,4.090E+20
74,5.850E+21
75,8.400E+22
76,1.210E+24
77,1.760E+25
78,2.560E+26
79,3.740E+27
80,5.500E+28
81,8.120E+29
82,1.200E+31
83,1.790E+32
84,2.690E+33
85,4.040E+34
86,6.110E+35
87,9.270E+36
88,1.410E+38
89,2.170E+39
90,3.330E+40
91,5.150E+42
92,8.000E+44
93,1.250E+47
94,1.950E+49
95,3.070E+51
96,4.860E+53
97,7.720E+55
98,1.230E+58
99,1.970E+60
100,3.170E+62
101,5.120E+64
102,8.310E+66
103,1.350E+69
104,2.220E+71
105,3.640E+73
106,6.010E+75
107,9.970E+77
108,1.660E+80
109,2.780E+82
110,4.660E+84
111,7.860E+86
112,1.330E+89
113,2.260E+91
114,3.870E+93
115,6.630E+95
116,1.140E+98
117,1.970E+100
118,3.430E+102
119,5.970E+104
120,1.050E+107
121,1.840E+109
122,3.240E+111
123,5.750E+113
124,1.020E+116
125,1.830E+118
126,3.280E+120
127,5.900E+122
128,1.070E+125
129,1.940E+127
130,3.530E+129
131,6.460E+131
132,1.190E+134
133,2.190E+136
134,4.050E+138
135,7.530E+140
136,1.400E+143
137,2.630E+145
138,4.950E+147
139,9.340E+149
140,1.770E+152
141,3.370E+154
142,6.430E+156
143,1.230E+159
144,2.370E+161
145,4.580E+163
146,8.880E+165
147,1.730E+168
148,3.370E+170
149,6.620E+172
150,1.300E+175
151,2.553E+177
152,5.013E+179
153,9.845E+181
154,6.856E+184
155,8.202E+187
156,9.814E+190
157,1.176E+194
158,1.410E+197
159,1.691E+200
160,2.029E+203
161,2.436E+206
162,2.928E+209
163,3.519E+212
164,4.233E+215
165,5.093E+218
166,6.138E+221
167,7.399E+224
168,8.929E+227
169,1.078E+231
170,1.302E+234
171,1.575E+237
172,1.904E+240
173,2.305E+243
174,2.790E+246
175,3.380E+249
176,4.100E+252
177,4.973E+255
178,6.035E+258
179,7.328E+261
180,8.909E+264
181,1.083E+268
182,1.319E+271
183,1.607E+274
184,1.959E+277
185,2.390E+280
186,2.918E+283
187,3.567E+286
188,4.361E+289
189,5.335E+292
190,6.535E+295
191,8.005E+298
192,9.810E+301
193,1.203E+305
194,1.477E+308
