Level,ThemeEnd,MonsterDiversity,Scale
1,25,5,0.75
25,30,6,0.75
55,35,6,0.75
90,40,6,0.8
130,45,7,0.8
175,50,7,0.8
225,55,7,0.85
280,60,7,0.85
340,65,7,0.85
405,70,7,0.9
475,70,7,0.9
545,70,7,0.9
615,70,7,0.95
685,70,7,0.95
755,70,7,0.95
825,70,7,1
895,70,7,1
965,70,7,1
1035,70,8,1.05
1105,70,8,1.05
1175,70,8,1.05
1245,70,8,1.1
1315,70,8,1.1
1385,70,8,1.1
1455,70,8,1.15
1525,70,8,1.15
1595,70,8,1.15
1665,70,8,1.2
1735,70,8,1.2
1805,70,8,1.2
1875,70,8,1.25
1945,70,8,1.25
2015,70,9,1.25
2085,70,9,1.3
2155,70,9,1.3
2225,70,9,1.3
2295,70,9,1.35
2365,70,9,1.35
2435,70,9,1.35
2505,70,9,1.4
2575,70,9,1.4
2645,70,9,1.4
2715,70,9,1.45
2785,70,9,1.45
2855,70,9,1.45
2925,70,10,1.5
2995,70,10,1.5
3065,70,10,1.5
