Level,Theme,Boss,Monster1,Monster2,Monster3,Monster4,Monster5,Monster6,Monster7,Monster8,Monster9,Monster10
1,ForgottenRuins,EarthGuru2,TomatoMan2,SaltySam1,Flower4,Mountain3,Vamp2,Puppet1,EarthGuru2,SerpentFace4,SquareHead3,RockOwl2
2,ForgottenRuins,RockOwl2,TomatoMan2,SaltySam1,Flower4,Mountain3,Vamp2,Puppet1,EarthGuru2,SerpentFace4,SquareHead3,RockOwl2
3,ForgottenRuins,Flower4,TomatoMan2,SaltySam1,Flower4,Mountain3,Vamp2,Puppet1,EarthGuru2,SerpentFace4,SquareHead3,RockOwl2
4,ForgottenRuins,SaltySam1,TomatoMan2,SaltySam1,Flower4,Mountain3,Vamp2,Puppet1,EarthGuru2,SerpentFace4,SquareHead3,RockOwl2
5,ForgottenRuins,BossWizardAxeEar1,TomatoMan2,SaltySam1,Flower4,Mountain3,Vamp2,Puppet1,EarthGuru2,SerpentFace4,SquareHead3,RockOwl2
6,EnchantedForest,MushSpider1,TomatoMan1,MushSpider1,Tanticlor2,CardFolks2,Mummy2,Flower2,Buggy1,SerpentFace2,Trapezoid2,Tritopus1
7,EnchantedForest,CardFolks2,TomatoMan1,MushSpider1,Tanticlor2,CardFolks2,Mummy2,Flower2,Buggy1,SerpentFace2,Trapezoid2,Tritopus1
8,EnchantedForest,Flower2,TomatoMan1,MushSpider1,Tanticlor2,CardFolks2,Mummy2,Flower2,Buggy1,SerpentFace2,Trapezoid2,Tritopus1
9,EnchantedForest,Buggy1,TomatoMan1,MushSpider1,Tanticlor2,CardFolks2,Mummy2,Flower2,Buggy1,SerpentFace2,Trapezoid2,Tritopus1
10,EnchantedForest,BossTripleTree1,TomatoMan1,MushSpider1,Tanticlor2,CardFolks2,Mummy2,Flower2,Buggy1,SerpentFace2,Trapezoid2,Tritopus1
11,FalloutLand,Oger2,SquareHead2,SpikyEye1,Trapezoid1,Oger2,PoorGuy1,RoboTom3,FlyBoy2,Summoner1,Vamp1,Mask1
12,FalloutLand,Mask1,SquareHead2,SpikyEye1,Trapezoid1,Oger2,PoorGuy1,RoboTom3,FlyBoy2,Summoner1,Vamp1,Mask1
13,FalloutLand,RoboTom3,SquareHead2,SpikyEye1,Trapezoid1,Oger2,PoorGuy1,RoboTom3,FlyBoy2,Summoner1,Vamp1,Mask1
14,FalloutLand,FlyBoy2,SquareHead2,SpikyEye1,Trapezoid1,Oger2,PoorGuy1,RoboTom3,FlyBoy2,Summoner1,Vamp1,Mask1
15,FalloutLand,MrScarf1,SquareHead2,SpikyEye1,Trapezoid1,Oger2,PoorGuy1,RoboTom3,FlyBoy2,Summoner1,Vamp1,Mask1
16,Savannah,BallOfFury3,BallOfFury3,SquareHead4,Buggy3,Woody2,TomatoMan3,MushSpider2,Knight3,Beast3,AngryBird1,Blobby2
17,Savannah,Buggy3,BallOfFury3,SquareHead4,Buggy3,Woody2,TomatoMan3,MushSpider2,Knight3,Beast3,AngryBird1,Blobby2
18,Savannah,Knight3,BallOfFury3,SquareHead4,Buggy3,Woody2,TomatoMan3,MushSpider2,Knight3,Beast3,AngryBird1,Blobby2
19,Savannah,Beast3,BallOfFury3,SquareHead4,Buggy3,Woody2,TomatoMan3,MushSpider2,Knight3,Beast3,AngryBird1,Blobby2
20,Savannah,Slardeer2,BallOfFury3,SquareHead4,Buggy3,Woody2,TomatoMan3,MushSpider2,Knight3,Beast3,AngryBird1,Blobby2
21,LostCity,Bob3,Yeti3,Bob3,AngryBird4,Woody3,SaltySam3,Viper2,Summoner2,Vamp3,RockFruit3,SaltySam1
22,LostCity,RockFruit3,Yeti3,Bob3,AngryBird4,Woody3,SaltySam3,Viper2,Summoner2,Vamp3,RockFruit3,SaltySam1
23,LostCity,SaltySam1,Yeti3,Bob3,AngryBird4,Woody3,SaltySam3,Viper2,Summoner2,Vamp3,RockFruit3,SaltySam1
24,LostCity,FlyBoy2,Yeti3,Bob3,AngryBird4,Woody3,SaltySam3,Viper2,Summoner2,Vamp3,RockFruit3,SaltySam1
25,LostCity,BossMustachio1,Yeti3,Bob3,AngryBird4,Woody3,SaltySam3,Viper2,Summoner2,Vamp3,RockFruit3,SaltySam1
26,Moonlight,FlyBoy1,Octaman1,BigBird3,RockFruit2,Doppio3,PoorGuy3,PooMan3,FlyBoy1,Animal1,AngryBird3,Walker1
27,Moonlight,Octaman1,Octaman1,BigBird3,RockFruit2,Doppio3,PoorGuy3,PooMan3,FlyBoy1,Animal1,AngryBird3,Walker1
28,Moonlight,RockFruit2,Octaman1,BigBird3,RockFruit2,Doppio3,PoorGuy3,PooMan3,FlyBoy1,Animal1,AngryBird3,Walker1
29,Moonlight,Doppio3,Octaman1,BigBird3,RockFruit2,Doppio3,PoorGuy3,PooMan3,FlyBoy1,Animal1,AngryBird3,Walker1
30,Moonlight,Squidz1,Octaman1,BigBird3,RockFruit2,Doppio3,PoorGuy3,PooMan3,FlyBoy1,Animal1,AngryBird3,Walker1
31,Canyon,Patrick2,Walker2,Patrick2,SerpentFace6,GH10001,Blobby3,RoboTom2,Animal2,DarkKnight2,Puppet2,MushSpider1
32,Canyon,GH10001,Walker2,Patrick2,SerpentFace6,GH10001,Blobby3,RoboTom2,Animal2,DarkKnight2,Puppet2,MushSpider1
33,Canyon,RoboTom2,Walker2,Patrick2,SerpentFace6,GH10001,Blobby3,RoboTom2,Animal2,DarkKnight2,Puppet2,MushSpider1
34,Canyon,DarkKnight2,Walker2,Patrick2,SerpentFace6,GH10001,Blobby3,RoboTom2,Animal2,DarkKnight2,Puppet2,MushSpider1
35,Canyon,BossBigSpikes1,Walker2,Patrick2,SerpentFace6,GH10001,Blobby3,RoboTom2,Animal2,DarkKnight2,Puppet2,MushSpider1
36,MechFactory,Slardeer1,Knight2,Patrick1,Buggy2,GH10002,Viper1,RoboTom1,Slardeer1,AngryBird2,Trapezoid3,Octaman1
37,MechFactory,Patrick1,Knight2,Patrick1,Buggy2,GH10002,Viper1,RoboTom1,Slardeer1,AngryBird2,Trapezoid3,Octaman1
38,MechFactory,Knight2,Knight2,Patrick1,Buggy2,GH10002,Viper1,RoboTom1,Slardeer1,AngryBird2,Trapezoid3,Octaman1
39,MechFactory,GH10002,Knight2,Patrick1,Buggy2,GH10002,Viper1,RoboTom1,Slardeer1,AngryBird2,Trapezoid3,Octaman1
40,MechFactory,BossGearz1,Knight2,Patrick1,Buggy2,GH10002,Viper1,RoboTom1,Slardeer1,AngryBird2,Trapezoid3,Octaman1
41,Cybertown,RockOwl1,RockOwl1,Beast1,RockFruit1,Doppio1,SaltySam2,Tanticlor1,Bob1,SerpentFace1,Blobby1,Knight2
42,Cybertown,Knight2,RockOwl1,Beast1,RockFruit1,Doppio1,SaltySam2,Tanticlor1,Bob1,SerpentFace1,Blobby1,Knight2
43,Cybertown,SaltySam2,RockOwl1,Beast1,RockFruit1,Doppio1,SaltySam2,Tanticlor1,Bob1,SerpentFace1,Blobby1,Knight2
44,Cybertown,Bob1,RockOwl1,Beast1,RockFruit1,Doppio1,SaltySam2,Tanticlor1,Bob1,SerpentFace1,Blobby1,Knight2
45,Cybertown,BossGigaPet1,RockOwl1,Beast1,RockFruit1,Doppio1,SaltySam2,Tanticlor1,Bob1,SerpentFace1,Blobby1,Knight2
46,FlamingCavern,BallOfFury1,Puppet3,PooMan1,BallOfFury1,Woody1,Knight1,Beast2,DarkKnight1,SerpentFace5,BigBird1,Tritopus2
47,FlamingCavern,Puppet3,Puppet3,PooMan1,BallOfFury1,Woody1,Knight1,Beast2,DarkKnight1,SerpentFace5,BigBird1,Tritopus2
48,FlamingCavern,DarkKnight1,Puppet3,PooMan1,BallOfFury1,Woody1,Knight1,Beast2,DarkKnight1,SerpentFace5,BigBird1,Tritopus2
49,FlamingCavern,Beast2,Puppet3,PooMan1,BallOfFury1,Woody1,Knight1,Beast2,DarkKnight1,SerpentFace5,BigBird1,Tritopus2
50,FlamingCavern,Patrick3,Puppet3,PooMan1,BallOfFury1,Woody1,Knight1,Beast2,DarkKnight1,SerpentFace5,BigBird1,Tritopus2
51,BushidoValley,Mask3,Vamp3,Mask3,Oger1,CardFolks1,Viper3,Tanticlor3,Bob2,Blobby4,SpikyEye3,BallieMcBallFace2
52,BushidoValley,Oger1,Vamp3,Mask3,Oger1,CardFolks1,Viper3,Tanticlor3,Bob2,Blobby4,SpikyEye3,BallieMcBallFace2
53,BushidoValley,CardFolks1,Vamp3,Mask3,Oger1,CardFolks1,Viper3,Tanticlor3,Bob2,Blobby4,SpikyEye3,BallieMcBallFace2
54,BushidoValley,Knight2,Vamp3,Mask3,Oger1,CardFolks1,Viper3,Tanticlor3,Bob2,Blobby4,SpikyEye3,BallieMcBallFace2
55,BushidoValley,NinjaStar1,Vamp3,Mask3,Oger1,CardFolks1,Viper3,Tanticlor3,Bob2,Blobby4,SpikyEye3,BallieMcBallFace2
56,ArcaneFields,Octaman3,Octaman3,BallieMcBallFace1,Animal3,SerpentFace3,Yeti2,BallOfFury2,Mountain1,MushSpider3,Tritopus3,Flower3
57,ArcaneFields,BallOfFury2,Octaman3,BallieMcBallFace1,Animal3,SerpentFace3,Yeti2,BallOfFury2,Mountain1,MushSpider3,Tritopus3,Flower3
58,ArcaneFields,Animal3,Octaman3,BallieMcBallFace1,Animal3,SerpentFace3,Yeti2,BallOfFury2,Mountain1,MushSpider3,Tritopus3,Flower3
59,ArcaneFields,Mountain1,Octaman3,BallieMcBallFace1,Animal3,SerpentFace3,Yeti2,BallOfFury2,Mountain1,MushSpider3,Tritopus3,Flower3
60,ArcaneFields,Abominable1,Octaman3,BallieMcBallFace1,Animal3,SerpentFace3,Yeti2,BallOfFury2,Mountain1,MushSpider3,Tritopus3,Flower3
61,Meadow,Flower1,AngryBird1,Puppet2,Flower1,Mountain3,TomatoMan1,PoorGuy4,EarthGuru1,SquareHead1,Octaman2,Mummy1
62,Meadow,PoorGuy4,AngryBird1,Puppet2,Flower1,Mountain3,TomatoMan1,PoorGuy4,EarthGuru1,SquareHead1,Octaman2,Mummy1
63,Meadow,Mountain3,AngryBird1,Puppet2,Flower1,Mountain3,TomatoMan1,PoorGuy4,EarthGuru1,SquareHead1,Octaman2,Mummy1
64,Meadow,EarthGuru1,AngryBird1,Puppet2,Flower1,Mountain3,TomatoMan1,PoorGuy4,EarthGuru1,SquareHead1,Octaman2,Mummy1
65,Meadow,BossBrownTree1,AngryBird1,Puppet2,Flower1,Mountain3,TomatoMan1,PoorGuy4,EarthGuru1,SquareHead1,Octaman2,Mummy1
66,IceGuardians,Mummy3,Mummy3,Tritopus2,SquareHead4,SpikyEye3,PoorGuy2,PooMan2,Yeti1,Mask2,Doppio2,Walker1
67,IceGuardians,Mask2,Mummy3,Tritopus2,SquareHead4,SpikyEye3,PoorGuy2,PooMan2,Yeti1,Mask2,Doppio2,Walker1
68,IceGuardians,PooMan2,Mummy3,Tritopus2,SquareHead4,SpikyEye3,PoorGuy2,PooMan2,Yeti1,Mask2,Doppio2,Walker1
69,IceGuardians,Doppio2,Mummy3,Tritopus2,SquareHead4,SpikyEye3,PoorGuy2,PooMan2,Yeti1,Mask2,Doppio2,Walker1
70,IceGuardians,Ramstein1,Mummy3,Tritopus2,SquareHead4,SpikyEye3,PoorGuy2,PooMan2,Yeti1,Mask2,Doppio2,Walker1
