ArtifactID,Name,A,B,C,D,E
Artifact22,Book of Shadows,1,2,1,1,1
Artifact95,Charged Card,3,3,3,4,3
Artifact2,Stone of the Valrunes,3,3,3,4,3
Artifact19,Chest of Contentment,2,3,2,2,2
Artifact1,Heroic Shield,1,1,1,1,1
Artifact20,Book of Prophecy,0,0,0,0,0
Artifact66,Khrysos Bowl,1,3,1,1,1
Artifact43,Zakynthos Coin,5,3,5,6,5
Artifact44,Great Fay Medallion,3,3,3,4,3
Artifact45,Neko Sculpture,3,3,3,4,3
Artifact79,Coins of Ebizu,5,3,5,6,5
Artifact82,The Bronzed Compass,2,3,2,2,2
Artifact94,Evergrowing Stack,3,3,3,4,3
Artifact84,Flute of the Soloist,3,2,3,4,3
Artifact26,Heavenly Sword,0,3,0,0,0
Artifact31,Divine Retribution,0,3,0,0,0
Artifact29,Drunken Hammer,0,0,0,0,0
Artifact51,Samosek Sword,3,3,3,4,3
Artifact59,The Retaliator,1,3,1,1,1
Artifact83,Stryfe's Peace,2,3,2,2,2
Artifact35,Hero's Blade,0,0,0,0,0
Artifact32,The Sword of Storms,2,3,2,2,2
Artifact33,Furies Bow,2,3,2,2,2
Artifact34,Charm of the Ancient,2,3,2,2,2
Artifact61,Tiny Titan Tree,2,3,2,2,2
Artifact62,Helm of Hermes,2,3,2,2,2
Artifact38,Fruit of Eden,1,3,1,1,1
Artifact30,Influential Elixir,3,2,3,4,3
Artifact98,Shimmering Oil,2,2,2,3,2
Artifact64,O'Ryan's Charm,1,3,1,1,1
Artifact52,Heart of Storms,2,3,2,2,2
Artifact53,Apollo Orb,2,3,2,2,2
Artifact96,Sticky Fruit,2,3,2,2,2
Artifact97,Hades Orb,2,3,2,2,2
Artifact67,Earrings of Portara,1,3,1,1,1
Artifact42,Avian Feather,2,3,2,2,2
Artifact46,Corrupted Rune Heart,5,2,5,2,5
Artifact55,Durendal Sword,1,2,1,1,1
Artifact56,Helheim Skull,1,2,1,1,1
Artifact75,Oath's Burden,3,3,3,4,3
Artifact76,Crown of the Constellation,3,3,3,4,3
Artifact77,Titania's Sceptre,1,3,1,1,1
Artifact78,Fagin's Grip,3,3,3,4,3
Artifact40,Ring of Calisto,1,3,1,3,1
Artifact25,Blade of Damocles,2,3,3,2,2
Artifact17,Helmet of Madness,2,3,3,2,2
Artifact23,Titanium Plating,2,3,3,2,2
Artifact73,Moonlight Bracelet,2,3,3,2,2
Artifact28,Amethyst Staff,2,3,3,2,2
Artifact86,Sword of the Royals,2,3,4,3,2
Artifact87,Spearit's Vigil,2,3,4,3,2
Artifact88,The Cobalt Plate,2,3,4,3,2
Artifact89,Sigils of Judgement,2,3,4,3,2
Artifact90,Foliage of the Keeper,2,3,4,3,2
Artifact47,Invader's Gjallarhorn,2,3,2,3,2
Artifact11,Titan's Mask,4,2,4,5,4
Artifact41,Royal Toxin,3,2,2,4,3
Artifact9,Laborer's Pendant,3,2,2,4,3
Artifact10,Bringer of Ragnarok,4,2,2,5,4
Artifact7,Parchment of Foresight,3,2,2,4,3
Artifact6,Elixir of Eden,4,2,2,5,4
Artifact65,Hourglass of the Impatient,2,2,2,2,2
Artifact48,Phantom Timepiece,1,2,1,1,1
Artifact13,Forbidden Scroll,3,3,2,4,3
Artifact15,Ring of Fealty,3,3,2,4,3
Artifact16,Glacial Axe,3,3,2,4,3
Artifact14,Aegis,3,3,2,4,3
Artifact12,Swamp Gauntlet,3,3,2,4,3
Artifact36,Infinity Pendulum,4,3,4,5,4
Artifact27,Glove of Kuma,3,3,3,4,3
Artifact39,Titan Spear,3,3,3,4,3
Artifact37,Oak Staff,3,3,3,4,3
Artifact3,The Arcana Cloak,3,3,3,4,3
Artifact8,Hunter's Ointment,3,3,3,4,3
Artifact50,Ambrosia Elixir,3,2,5,4,3
Artifact58,Mystic Staff,5,2,5,2,5
Artifact68,Mystical Beans of Senzu,3,3,3,4,3
Artifact18,Egg of Fortune,5,2,5,6,5
Artifact21,Divine Chalice,5,2,5,6,5
Artifact5,Invader's Shield,1,2,1,1,1
Artifact4,Axe of Muerte,3,2,3,4,3
Artifact54,Essence of the Kitsune,5,3,5,6,5
Artifact70,Boots of Hermes,1,2,1,1,1
Artifact74,Unbound Gauntlet,3,2,3,4,1
Artifact72,Oberon Pendant,5,2,5,6,5
Artifact69,Lucky Foot of Al-Mi-Raj,3,3,3,4,0
Artifact63,Lost King's Mask,5,3,5,2,5
Artifact24,Staff of Radiance,3,3,3,4,3
Artifact71,Morgelai Sword,5,3,5,6,5
Artifact91,Ringing Stone,5,3,5,6,5
Artifact92,Quill of Scrolls,5,3,5,6,5
Artifact93,Old King's Stamp,5,3,5,6,5
Artifact49,The Master's Sword,0,2,0,0,0
Artifact80,The Magnifier,2,3,2,2,2
Artifact81,The Treasure of Fergus,2,3,2,2,2
Artifact85,The White Dwarf,4,3,4,5,4
Artifact57,Aram Spear,5,1,5,2,5
Artifact60,Ward of the Darkness,5,2,5,2,5
Artifact99,Golden Scope,2,2,4,1,2
Artifact100,Twin Bracers,6,3,6,7,6
Artifact101,Cosmic Sextant,6,3,6,7,6
Artifact102,Endless Bandolier,6,3,6,7,6
Artifact103,Pearl of Oblivion,6,3,6,7,6
