StartRank,EndRank,PrizeType,Diamonds,ChallengePoints,HolidayCurrency,TournamentRewards,SkillPoint,Perk,EquipmentShards,Pet,HelperWeapon,FortuneHelperWeapon
0,0,Type1,0,150,300,"ChallengePoints:150,HolidayCurrency:300",0,0,0,0,0,0
1,1,Type1,0,130,295,"ChallengePoints:130,HolidayCurrency:295",0,0,0,0,0,0
2,2,Type1,0,110,290,"ChallengePoints:110,HolidayCurrency:290",0,0,0,0,0,0
3,3,Type1,0,80,280,"ChallengePoints:80,HolidayCurrency:280",0,0,0,0,0,0
4,4,Type1,0,55,270,"ChallengePoints:55,HolidayCurrency:270",0,0,0,0,0,0
5,9,Type1,0,35,240,"ChallengePoints:35,HolidayCurrency:240",0,0,0,0,0,0
10,19,Type1,0,20,210,"ChallengePoints:20,HolidayCurrency:210",0,0,0,0,0,0
20,29,Type1,0,10,180,"ChallengePoints:10,HolidayCurrency:180",0,0,0,0,0,0
30,39,Type1,0,5,150,"ChallengePoints:5,HolidayCurrency:150",0,0,0,0,0,0
40,50,Type1,0,1,120,"ChallengePoints:1,HolidayCurrency:120",0,0,0,0,0,0
0,0,Type2,0,150,300,"ChallengePoints:150,HolidayCurrency:300",0,0,0,0,0,0
1,1,Type2,0,130,295,"ChallengePoints:130,HolidayCurrency:295",0,0,0,0,0,0
2,2,Type2,0,110,290,"ChallengePoints:110,HolidayCurrency:290",0,0,0,0,0,0
3,3,Type2,0,80,280,"ChallengePoints:80,HolidayCurrency:280",0,0,0,0,0,0
4,4,Type2,0,55,270,"ChallengePoints:55,HolidayCurrency:270",0,0,0,0,0,0
5,9,Type2,0,35,240,"ChallengePoints:35,HolidayCurrency:240",0,0,0,0,0,0
10,19,Type2,0,20,210,"ChallengePoints:20,HolidayCurrency:210",0,0,0,0,0,0
20,29,Type2,0,10,180,"ChallengePoints:10,HolidayCurrency:180",0,0,0,0,0,0
30,39,Type2,0,5,150,"ChallengePoints:5,HolidayCurrency:150",0,0,0,0,0,0
40,50,Type2,0,1,120,"ChallengePoints:1,HolidayCurrency:120",0,0,0,0,0,0
0,0,Type3,0,150,300,"ChallengePoints:150,HolidayCurrency:300",0,0,0,0,0,0
1,1,Type3,0,130,295,"ChallengePoints:130,HolidayCurrency:295",0,0,0,0,0,0
2,2,Type3,0,110,290,"ChallengePoints:110,HolidayCurrency:290",0,0,0,0,0,0
3,3,Type3,0,80,280,"ChallengePoints:80,HolidayCurrency:280",0,0,0,0,0,0
4,4,Type3,0,55,270,"ChallengePoints:55,HolidayCurrency:270",0,0,0,0,0,0
5,9,Type3,0,35,240,"ChallengePoints:35,HolidayCurrency:240",0,0,0,0,0,0
10,19,Type3,0,20,210,"ChallengePoints:20,HolidayCurrency:210",0,0,0,0,0,0
20,29,Type3,0,10,180,"ChallengePoints:10,HolidayCurrency:180",0,0,0,0,0,0
30,39,Type3,0,5,150,"ChallengePoints:5,HolidayCurrency:150",0,0,0,0,0,0
40,50,Type3,0,1,120,"ChallengePoints:1,HolidayCurrency:120",0,0,0,0,0,0
