ScrollId,BonusType,BonusAmount,IsAdditive,ImageMap
ScrollId1,GoldAll,1.63,False,H22
ScrollId2,AllDamage,1.43,False,H02
ScrollId3,AllHelperDamage,1.108,False,H27
ScrollId4,MeleeHelperDamage,1.3,False,H21
ScrollId5,RangedHelperDamage,1.3,False,H11
ScrollId6,SpellHelperDamage,1.3,False,H29
ScrollId7,CritDamage,1.43,False,H09
ScrollId8,ChestAmount,1.2,False,H30
ScrollId9,GoldBoss,1.3,False,H10
ScrollId10,FairyGold,1.21,False,H17
ScrollId11,TapDamage,1.2,False,H36
ScrollId12,ShadowCloneSkillAmount,1.037,False,H14
ScrollId13,GoldSpecialty,1.2,False,H25
ScrollId14,ManaPoolCap,8,True,H08
ScrollId15,TapDamageFromHelpers,0.00001,True,H34
ScrollId16,ManaRegen,0.32,True,H32
ScrollId17,MultiMonstersGold,1.44,False,H04
ScrollId18,PetGoldQTEAmount,1.103,False,H15
