Day,RewardType,Count,HolidayCurrency,AnniversaryMinigameCurrency,Reward
1,MONSTER_GOLD,100,25,10,"MonsterGold:1000,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
2,DIAMONDS,25,25,10,"Diamonds:25,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
3,EQUIPMENT,3,25,10,"Equipment:3,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
4,EGG,3,25,10,"Pet:3,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
5,PERK,1,25,10,"PerkTicket:10,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
6,EQUIPMENT_SHARDS,5,25,10,"EquipmentShards:5,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
7,HELPER_WEAPON,1,25,10,"HelperWeapon:1,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
8,DIAMONDS,50,25,10,"Diamonds:50,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
9,SKILL_POINT,1,25,10,"SkillPoint:1,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
10,EGG,5,25,10,"Pet:5,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
11,PERK,1,25,10,"PerkTicket:10,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
12,HELPER_WEAPON,1,25,10,"HelperWeapon:1,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
13,SKILL_POINT,1,25,10,"SkillPoint:1,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
14,EQUIPMENT_SHARDS,10,25,10,"EquipmentShards:10,HolidayCurrency:25,AnniversaryMinigameCurrency:10"
