Count,RelicCost
1,1.000E+00
2,5.300E+01
3,6.360E+02
4,8.270E+03
5,1.158E+05
6,1.737E+06
7,2.779E+07
8,4.724E+08
9,8.503E+09
10,1.616E+11
11,3.231E+12
12,6.785E+13
13,1.493E+15
14,3.433E+16
15,8.240E+17
16,2.060E+19
17,6.180E+20
18,2.163E+22
19,8.652E+23
20,4.326E+25
21,2.163E+27
22,1.622E+29
23,1.622E+31
24,2.028E+33
25,3.042E+35
26,4.563E+37
27,6.844E+39
28,1.027E+42
29,1.540E+44
30,2.310E+46
31,3.465E+48
32,5.197E+50
33,7.796E+52
34,6.237E+53
35,5.301E+54
36,4.792E+55
37,4.606E+56
38,4.702E+57
39,5.107E+58
40,5.898E+59
41,7.243E+60
42,9.452E+61
43,1.314E+63
44,1.944E+64
45,3.053E+65
46,5.098E+66
47,9.024E+67
48,1.696E+69
49,3.393E+70
50,7.227E+71
51,1.633E+73
52,3.936E+74
53,1.008E+76
54,2.741E+77
55,7.921E+78
56,2.432E+80
57,7.952E+81
58,2.759E+83
59,1.018E+85
60,1.394E+87
61,3.302E+89
62,1.113E+92
63,4.861E+94
64,2.610E+97
65,1.662E+100
66,1.225E+103
67,1.025E+106
68,9.603E+108
69,9.958E+111
70,1.132E+115
