ArtifactID,Name,IsActive,CategoryID,BonusType,MaxLevel,EffectPerLevel,GrowthExpo,DamageBonus,DamageExpo,CostCoef,CostExpo,BonusIcon,EnchantmentMagnitude,EnchantmentMult,L40
SeasonalArtifact1,Skull Island,FALSE,Pirate,DamagePerSoloRaidWorld,40,11.21,6.685,1.00E+20,0.55,1.09,1.042,Dmg,1.00E+00,1.00E+00,27.79
SeasonalArtifact2,Buried Booty,FALSE,Pirate,GoldPerRunningActiveSkill,0,22,130.538,1.00E+14,0.53,8.00,2.260,Gold,1.00E+00,1.00E+00,523.49
SeasonalArtifact3,Keelhaul Reef,FALSE,Pirate,DamagePerRunningActiveSkill,0,1.7,68.044,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+00,1.00E+00,272.41
SeasonalArtifact4,Beast Hunter's Grave,FALSE,Pirate,BoostedSwordAttackDamage,0,3.20E+00,74.551,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+00,1.00E+00,298.71
SeasonalArtifact5,Droid Factory,FALSE,Pirate,HelperBoostSkillAmountDuringTapBoostSkill,0,1.00E+01,165.244,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+00,1.00E+00,661.98
SeasonalArtifact33,Rosabella's Village,FALSE,Pirate,InspiredHelperDamage,0,10,141.664,1.00E+14,0.53,8.00,2.260,Boost,1.00E+00,1.00E+00,567.66
SeasonalArtifact7,Freebooter Outpost,FALSE,Pirate,ClanScrollBoost,40,0.12,0.909,1.00E+20,0.55,1.09,1.042,Boost,1.00E+00,1.00E+00,2.72
SeasonalArtifact8,Red Water Wreckage,FALSE,Pirate,JackpotGoldPerSeasonDay,40,1.3,8.166,1.00E+20,0.55,1.09,1.042,Gold,1.00E+00,1.00E+00,32.78
SeasonalArtifact9,Old Salt Trading Post,FALSE,Pirate,DamagePerEventSet,0,1.07,2.259,1.00E+14,0.53,8.00,2.260,Boost,1.00E+00,1.00E+00,9.07
SeasonalArtifact10,Chesterson Island,FALSE,Pirate,GoldAllPerSeasonChesterson,0,1.00E+01,98.415,1.00E+14,0.53,8.00,2.260,Gold,1.00E+00,1.00E+00,394.66
SeasonalArtifact39,Coastal Factory,FALSE,Pirate,ActiveTapDamage,0,9.20E+00,45.424,1.00E+14,0.53,8.00,2.260,Boost,1.00E+00,1.00E+00,182.66
SeasonalArtifact13,Skyrent Valley,FALSE,Viper,TwilightBoost,0,10,70.736,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+00,1.00E+00,283.95
SeasonalArtifact14,Bridge of Eternal Balance,FALSE,Viper,KnightBonusBoost,0,1,15.283,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+00,1.00E+00,61.13
SeasonalArtifact15,Blessed Plains,FALSE,Viper,AllActiveSkillAmount,0,2,18.709,1.00E+14,0.53,8.00,2.260,Boost,1.00E+00,1.00E+00,75.14
SeasonalArtifact16,Void Temple,FALSE,Viper,TapDamagePerSeasonPrestige,0,50,69.911,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+00,1.00E+00,281.34
SeasonalArtifact19,Palace of One Thousand Waterfalls,FALSE,Viper,GoldAllPerPrestigeSecond,0,1,120.743,1.00E+14,0.53,8.00,2.260,Gold,1.00E+00,1.00E+00,482.97
SeasonalArtifact20,Evergold City,FALSE,Viper,JackpotGold,0,10,118.543,1.00E+14,0.53,8.00,2.260,Gold,1.00E+00,1.00E+00,475.17
SeasonalArtifact21,Temple of the Eternal Flame,FALSE,Viper,ExoticPetDamageEffect,0,10,16.511,1.00E+14,0.53,8.00,2.260,Boost,1.00E+00,1.00E+00,67.04
