Index,Category,Rare1,Legendary1,Legendary2,Mythic1,Mythic2,Mythic3,R1,R2,R3,L1,L2,L3,M1,M2,M3
0,Weapon,BurstDamageSkillAmount,BurstDamageSkillAmount,CritBoostSkillAmount,BurstDamageSkillAmount,CritBoostSkillAmount,TapBoostSkillAmount,2.24278E-06,1.66348E+00,1.00014E+00,1.96375E-10,2.91128E+00,1.00027E+00,2.91616E-15,4.36410E+00,1.00042E+00
1,Weapon,BurstDamageSkillAmount,BurstDamageSkillAmount,TapBoostSkillAmount,BurstDamageSkillAmount,CritBoostSkillAmount,HelperBoostSkillAmount,2.24278E-06,1.66348E+00,1.00014E+00,6.20444E-11,3.06124E+00,1.00028E+00,2.91616E-15,4.36410E+00,1.00042E+00
2,Weapon,CritBoostSkillAmount,BurstDamageSkillAmount,HelperBoostSkillAmount,BurstDamageSkillAmount,CritBoostSkillAmount,ShadowCloneSkillAmount,2.39616E-05,1.32409E+00,1.00009E+00,6.20444E-11,3.06124E+00,1.00028E+00,1.65900E-08,2.32826E+00,1.00021E+00
3,Weapon,CritBoostSkillAmount,BurstDamageSkillAmount,ShadowCloneSkillAmount,BurstDamageSkillAmount,TapBoostSkillAmount,HelperBoostSkillAmount,2.39616E-05,1.32409E+00,1.00009E+00,4.59482E-05,1.22581E+00,1.00008E+00,2.82844E-15,4.39543E+00,1.00045E+00
4,Weapon,TapBoostSkillAmount,CritBoostSkillAmount,TapBoostSkillAmount,BurstDamageSkillAmount,TapBoostSkillAmount,ShadowCloneSkillAmount,1.15960E-05,1.43047E+00,1.00011E+00,1.87744E-09,2.61589E+00,1.00024E+00,5.64430E-09,2.47096E+00,1.00023E+00
5,Weapon,TapBoostSkillAmount,CritBoostSkillAmount,HelperBoostSkillAmount,BurstDamageSkillAmount,HelperBoostSkillAmount,ShadowCloneSkillAmount,1.15960E-05,1.43047E+00,1.00011E+00,1.87744E-09,2.61589E+00,1.00024E+00,5.64430E-09,2.47096E+00,1.00023E+00
6,Weapon,HelperBoostSkillAmount,CritBoostSkillAmount,ShadowCloneSkillAmount,CritBoostSkillAmount,TapBoostSkillAmount,HelperBoostSkillAmount,1.15960E-05,1.43047E+00,1.00011E+00,1.65900E-08,2.32826E+00,1.00021E+00,1.47319E-14,4.13782E+00,1.00038E+00
7,Weapon,HelperBoostSkillAmount,TapBoostSkillAmount,HelperBoostSkillAmount,CritBoostSkillAmount,TapBoostSkillAmount,ShadowCloneSkillAmount,1.15960E-05,1.43047E+00,1.00011E+00,6.12371E-10,2.76275E+00,1.00025E+00,1.66377E-13,3.82646E+00,1.00035E+00
8,Weapon,ShadowCloneSkillAmount,TapBoostSkillAmount,ShadowCloneSkillAmount,CritBoostSkillAmount,HelperBoostSkillAmount,ShadowCloneSkillAmount,4.59482E-05,1.22581E+00,1.00008E+00,5.64430E-09,2.47096E+00,1.00023E+00,1.66377E-13,3.82646E+00,1.00035E+00
9,Weapon,ShadowCloneSkillAmount,HelperBoostSkillAmount,ShadowCloneSkillAmount,TapBoostSkillAmount,HelperBoostSkillAmount,ShadowCloneSkillAmount,4.59482E-05,1.22581E+00,1.00008E+00,5.64430E-09,2.47096E+00,1.00023E+00,4.96541E-14,3.98187E+00,1.00037E+00
