RewardIndex,BonusGold,BonusDiamond
0,3,2
1,1,1
2,1,1
3,1,5
4,1,2
5,1,1
6,1,1
7,1,1
8,2,3
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,25,1
18,1,1
19,2,1
20,1,2
21,1,1
22,1,1
23,1,1
24,1,2
25,1,1
26,1,1
27,1,1
28,1,3
29,1,1
30,1,1
31,1,1
32,1,1
33,2,1
34,1,2
35,1,1
36,1,1
37,2,1
38,1,1
39,1,1
40,2,1
41,1,1
42,1,2
43,1,1
44,1,1
45,1,2
46,1,1
47,1,2
48,1,1
49,1,1
50,1,1
51,1,1
52,1,2
53,1,1
54,1,10
55,1,2
56,1,3
57,1,1
58,1,1
59,1,1
60,1,3
61,1,1
62,1,1
63,1,1
64,1,1
65,2,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,3
71,1,1
72,2,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,5
79,1,1
80,1,1
81,2,1
82,1,1
83,2,1
84,1,1
85,1,2
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,2,1
93,3,1
94,2,1
95,1,1
96,1,5
97,1,25
98,1,1
99,2,1
100,1,2
101,3,1
102,1,10
103,1,3
104,3,3
105,1,1
106,1,1
107,10,1
108,1,1
109,1,1
110,5,1
111,1,1
112,1,1
113,1,2
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,2
120,1,1
121,2,1
122,2,2
123,1,1
124,1,1
125,1,1
126,2,1
127,5,1
128,1,2
129,2,5
130,1,1
131,1,1
132,1,1
133,2,1
134,1,1
135,1,2
136,1,1
137,1,1
138,1,1
139,1,2
140,1,3
141,1,1
142,1,1
143,3,2
144,2,2
145,1,1
146,2,3
147,2,1
148,2,1
149,1,2
150,1,1
151,1,1
152,1,1
153,1,1
154,3,1
155,1,1
156,1,1
157,3,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,2
166,1,1
167,1,1
168,1,1
169,1,1
170,3,1
171,1,1
172,1,1
173,1,1
174,1,2
175,1,1
176,1,1
177,1,2
178,1,1
179,1,1
180,10,1
181,1,1
182,1,2
183,1,1
184,1,3
185,1,1
186,1,1
187,1,1
188,1,1
189,1,2
190,1,1
191,1,1
192,2,1
193,1,1
194,1,1
195,1,1
196,2,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,5,1
207,1,1
208,1,1
209,2,1
210,1,1
211,3,1
212,1,1
213,3,1
214,1,2
215,1,1
216,1,1
217,1,1
218,1,1
219,1,2
220,1,1
221,1,1
222,1,1
223,2,1
224,1,1
225,1,1
226,1,1
227,2,1
228,2,1
229,1,1
230,2,1
231,1,1
232,1,1
233,1,1
234,1,2
235,2,2
236,1,1
237,1,1
238,3,3
239,5,1
240,1,1
241,1,1
242,2,1
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
248,1,1
249,1,1
250,1,1
251,1,1
252,2,1
253,1,2
254,1,1
255,1,1
