Level,Rarity0,Rarity1,Rarity2,Rarity3,Rarity4,Note,Rarity0_Chance,Rarity1_Chance,Rarity2_Chance,Rarity3_Chance,Rarity4_Chance,RESEARCHSHARD_EV,cost per
1,72817,17179,10002,0,0,"""Level is Summon Level""",72.82%,17.18%,10.00%,0.00%,0.00%,1.57,1.00
2,72601,17269,10128,0,0,Drop Weights,72.60%,17.27%,10.13%,0.00%,0.00%,1.58,2.00
3,72385,17359,10255,0,0,-,72.39%,17.36%,10.26%,0.00%,0.00%,1.58,5.00
4,72168,17449,10381,0,0,-,72.17%,17.45%,10.38%,0.00%,0.00%,1.59,10.00
5,71952,17539,10507,0,0,-,71.95%,17.54%,10.51%,0.00%,0.00%,1.60,25.00
6,71736,17629,10633,0,0,0.0009,71.74%,17.63%,10.63%,0.00%,0.00%,1.60,
7,71520,17719,10760,0,0,0.0012625,71.52%,17.72%,10.76%,0.00%,0.00%,1.61,
8,71303,17809,10886,0,0,0.0013625,71.30%,17.81%,10.89%,0.00%,0.00%,1.61,
9,71087,17899,11012,0,0,0.0014125,71.09%,17.90%,11.01%,0.00%,0.00%,1.62,
10,70871,17989,11138,0,0,-,70.87%,17.99%,11.14%,0.00%,0.00%,1.63,
11,70655,18079,11265,0,0,-,70.66%,18.08%,11.27%,0.00%,0.00%,1.63,
12,70438,18169,11391,0,0,-,70.44%,18.17%,11.39%,0.00%,0.00%,1.64,
13,70222,18259,11517,0,0,,70.22%,18.26%,11.52%,0.00%,0.00%,1.64,
14,70006,18349,11643,0,0,,70.01%,18.35%,11.64%,0.00%,0.00%,1.65,
15,69790,18439,11770,0,0,-,69.79%,18.44%,11.77%,0.00%,0.00%,1.66,
16,69573,18529,11896,0,0,-,69.57%,18.53%,11.90%,0.00%,0.00%,1.66,
17,69357,18619,12022,0,0,-,69.36%,18.62%,12.02%,0.00%,0.00%,1.67,
18,69141,18709,12148,0,0,-,69.14%,18.71%,12.15%,0.00%,0.00%,1.67,
19,68925,18799,12275,0,0,-,68.93%,18.80%,12.28%,0.00%,0.00%,1.68,
20,68708,18889,12401,0,0,-,68.71%,18.89%,12.40%,0.00%,0.00%,1.68,
21,68492,18979,12527,0,0,-,68.49%,18.98%,12.53%,0.00%,0.00%,1.69,
22,68276,19069,12653,0,0,-,68.28%,19.07%,12.65%,0.00%,0.00%,1.70,
23,68060,19159,12780,0,0,-,68.06%,19.16%,12.78%,0.00%,0.00%,1.70,
24,67843,19249,12906,0,0,-,67.84%,19.25%,12.91%,0.00%,0.00%,1.71,
25,67627,19339,13032,0,0,-,67.63%,19.34%,13.03%,0.00%,0.00%,1.71,
26,67411,19429,13158,0,0,-,67.41%,19.43%,13.16%,0.00%,0.00%,1.72,
27,67195,19519,13285,0,0,-,67.20%,19.52%,13.29%,0.00%,0.00%,1.73,
28,66978,19609,13411,0,0,-,66.98%,19.61%,13.41%,0.00%,0.00%,1.73,
29,66762,19699,13537,0,0,-,66.76%,19.70%,13.54%,0.00%,0.00%,1.74,
30,66546,19789,13663,0,0,,66.55%,19.79%,13.66%,0.00%,0.00%,1.74,
31,66330,19879,13790,0,0,,66.33%,19.88%,13.79%,0.00%,0.00%,1.75,
32,66113,19969,13916,0,0,,66.11%,19.97%,13.92%,0.00%,0.00%,1.76,
33,65897,20059,14042,0,0,,65.90%,20.06%,14.04%,0.00%,0.00%,1.76,
34,65681,20149,14168,0,0,,65.68%,20.15%,14.17%,0.00%,0.00%,1.77,
35,65465,20239,14295,0,0,,65.47%,20.24%,14.30%,0.00%,0.00%,1.77,
36,65248,20329,14421,0,0,,65.25%,20.33%,14.42%,0.00%,0.00%,1.78,
37,65032,20419,14547,0,0,,65.03%,20.42%,14.55%,0.00%,0.00%,1.79,
38,64816,20509,14673,0,0,,64.82%,20.51%,14.67%,0.00%,0.00%,1.79,
39,64600,20599,14800,0,0,,64.60%,20.60%,14.80%,0.00%,0.00%,1.80,
40,64383,20689,14926,0,0,,64.38%,20.69%,14.93%,0.00%,0.00%,1.80,
41,64167,20779,15052,0,0,,64.17%,20.78%,15.05%,0.00%,0.00%,1.81,
42,63951,20869,15178,0,0,,63.95%,20.87%,15.18%,0.00%,0.00%,1.82,
43,63735,20959,15305,0,0,,63.74%,20.96%,15.31%,0.00%,0.00%,1.82,
44,63518,21049,15431,0,0,,63.52%,21.05%,15.43%,0.00%,0.00%,1.83,
