Ascension,Level,AmountMelee,PrecalculatedAmountMelee,AmountRanged,PrecalculatedAmountRanged,AmountSpell,PrecalculatedAmountSpell,Melee Total MAGs,Ranged Total MAGs,Spell Total MAGs
0,10,3,3.00E+00,2,2.00E+00,2,2.00E+00,0.48,0.30,0.30
0,30,3,9.00E+00,2,4.00E+00,2,4.00E+00,0.95,0.60,0.60
0,50,3,2.70E+01,2,8.00E+00,2,8.00E+00,1.43,0.90,0.90
0,70,3,8.10E+01,2,1.60E+01,2,1.60E+01,1.91,1.20,1.20
0,90,3,2.43E+02,2,3.20E+01,2,3.20E+01,2.39,1.51,1.51
0,110,3,7.29E+02,2,6.40E+01,2,6.40E+01,2.86,1.81,1.81
0,130,3,2.19E+03,2,1.28E+02,2,1.28E+02,3.34,2.11,2.11
0,150,3,6.56E+03,2,2.56E+02,2,2.56E+02,3.82,2.41,2.41
0,170,3,1.97E+04,2,5.12E+02,2,5.12E+02,4.29,2.71,2.71
0,190,3,5.90E+04,2,1.02E+03,2,1.02E+03,4.77,3.01,3.01
0,210,3,1.77E+05,2,2.05E+03,2,2.05E+03,5.25,3.31,3.31
0,230,3,5.31E+05,2,4.10E+03,2,4.10E+03,5.73,3.61,3.61
0,250,3,1.59E+06,3200,1.31E+07,2,8.19E+03,6.20,7.12,3.91
0,270,3,4.78E+06,2,2.62E+07,2,1.64E+04,6.68,7.42,4.21
0,290,3,1.43E+07,2,5.24E+07,3,4.92E+04,7.16,7.72,4.69
0,310,3,4.30E+07,2,1.05E+08,3,1.47E+05,7.63,8.02,5.17
0,330,3,1.29E+08,2,2.10E+08,3,4.42E+05,8.11,8.32,5.65
0,350,3,3.87E+08,2,4.19E+08,3,1.33E+06,8.59,8.62,6.12
0,370,3,1.16E+09,2,8.39E+08,4,5.31E+06,9.07,8.92,6.72
0,400,3,3.49E+09,2,1.68E+09,4,2.12E+07,9.54,9.22,7.33
0,430,3,1.05E+10,2,3.36E+09,4,8.49E+07,10.02,9.53,7.93
0,460,2,2.09E+10,2,6.71E+09,4,3.40E+08,10.32,9.83,8.53
0,490,2,4.18E+10,2,1.34E+10,4,1.36E+09,10.62,10.13,9.13
0,520,2,8.37E+10,100,1.34E+12,4,5.44E+09,10.92,12.13,9.74
0,550,2,1.67E+11,2,2.68E+12,4,2.17E+10,11.22,12.43,10.34
0,580,2,3.35E+11,2,5.37E+12,4,8.70E+10,11.52,12.73,10.94
0,610,2,6.69E+11,2,1.07E+13,4,3.48E+11,11.83,13.03,11.54
0,640,2,1.34E+12,2,2.15E+13,5,1.74E+12,12.13,13.33,12.24
0,670,2,2.68E+12,2,4.29E+13,5,8.70E+12,12.43,13.63,12.94
0,700,2,5.36E+12,2,8.59E+13,5,4.35E+13,12.73,13.93,13.64
0,730,2,1.07E+13,2,1.72E+14,5,2.17E+14,13.03,14.24,14.34
0,760,2,2.14E+13,2,3.44E+14,6,1.30E+15,13.33,14.54,15.12
0,790,2,4.28E+13,2,6.87E+14,6,7.83E+15,13.63,14.84,15.89
0,820,2,8.57E+13,2,1.37E+15,6,4.70E+16,13.93,15.14,16.67
0,850,2,1.71E+14,2,2.75E+15,6,2.82E+17,14.23,15.44,17.45
0,880,2,3.43E+14,2,5.50E+15,7,1.97E+18,14.53,15.74,18.30
0,910,2,6.86E+14,2,1.10E+16,7,1.38E+19,14.84,16.04,19.14
0,940,2,1.37E+15,2,2.20E+16,8,1.10E+20,15.14,16.34,20.04
0,970,2,2.74E+15,2,4.40E+16,9,9.94E+20,15.44,16.64,21.00
0,1000,600000000,1.65E+24,1.00E+16,4.40E+32,8.50E+01,8.45E+22,24.22,32.64,22.93
0,1040,15,2.47E+25,2,8.80E+32,5,4.23E+23,25.39,32.94,23.63
0,1080,15,3.70E+26,2,1.76E+33,5,2.11E+24,26.57,33.25,24.32
0,1120,14,5.18E+27,2,3.52E+33,5,1.06E+25,27.71,33.55,25.02
0,1160,14,7.26E+28,2,7.04E+33,7,7.39E+25,28.86,33.85,25.87
0,1200,13,9.43E+29,2,1.41E+34,7,5.18E+26,29.97,34.15,26.71
0,1240,13,1.23E+31,2,2.81E+34,7,3.62E+27,31.09,34.45,27.56
0,1280,13,1.59E+32,3,8.44E+34,9,3.26E+28,32.20,34.93,28.51
0,1320,12,1.91E+33,3,2.53E+35,9,2.93E+29,33.28,35.40,29.47
0,1360,12,2.30E+34,3,7.60E+35,9,2.64E+30,34.36,35.88,30.42
0,1400,11,2.52E+35,3,2.28E+36,11,2.91E+31,35.40,36.36,31.46
0,1440,11,2.78E+36,3,6.84E+36,11,3.20E+32,36.44,36.84,32.50
0,1480,10,2.78E+37,3,2.05E+37,11,3.52E+33,37.44,37.31,33.55
0,1520,10,2.78E+38,3,6.16E+37,13,4.57E+34,38.44,37.79,34.66
0,1560,9,2.50E+39,3,1.85E+38,13,5.94E+35,39.40,38.27,35.77
0,1600,9,2.25E+40,3,5.54E+38,13,7.72E+36,40.35,38.74,36.89
0,1640,8,1.80E+41,3,1.66E+39,15,1.16E+38,41.26,39.22,38.06
0,1680,8,1.44E+42,3,4.99E+39,15,1.74E+39,42.16,39.70,39.24
0,1720,7,1.01E+43,3,1.50E+40,15,2.61E+40,43.00,40.17,40.42
0,1760,7,7.06E+43,3,4.49E+40,17,4.43E+41,43.85,40.65,41.65
0,1800,6,4.23E+44,3,1.35E+41,17,7.53E+42,44.63,41.13,42.88
0,1840,6,2.54E+45,3,4.04E+41,17,1.28E+44,45.40,41.61,44.11
0,1880,5,1.27E+46,3,1.21E+42,19,2.43E+45,46.10,42.08,45.39
0,1920,5,6.35E+46,3,3.63E+42,19,4.62E+46,46.80,42.56,46.66
0,1960,4,2.54E+47,3,1.09E+43,19,8.78E+47,47.40,43.04,47.94
0,2000,1000,2.54E+50,1.00E+18,1.09E+61,1.00E+04,8.78E+51,50.40,61.04,51.94
0,2050,100,2.54E+52,12,1.31E+62,2,1.76E+52,52.40,62.12,52.24
0,2100,95,2.41E+54,12,1.57E+63,5,8.78E+52,54.38,63.20,52.94
0,2150,90,2.17E+56,12,1.88E+64,10,8.78E+53,56.34,64.28,53.94
0,2200,85,1.85E+58,12,2.26E+65,15,1.32E+55,58.27,65.35,55.12
0,2250,80,1.48E+60,12,2.71E+66,20,2.64E+56,60.17,66.43,56.42
0,2300,75,1.11E+62,12,3.26E+67,30,7.91E+57,62.04,67.51,57.90
0,2350,70,7.75E+63,12,3.91E+68,40,3.16E+59,63.89,68.59,59.50
0,2400,65,5.04E+65,12,4.69E+69,50,1.58E+61,65.70,69.67,61.20
0,2450,60,3.02E+67,12,5.63E+70,60,9.49E+62,67.48,70.75,62.98
0,2500,55,1.66E+69,12,6.75E+71,70,6.64E+64,69.22,71.83,64.82
0,2550,50,8.31E+70,12,8.10E+72,90,5.98E+66,70.92,72.91,66.78
0,2600,45,3.74E+72,12,9.72E+73,110,6.57E+68,72.57,73.99,68.82
0,2650,40,1.50E+74,12,1.17E+75,140,9.20E+70,74.18,75.07,70.96
0,2700,35,5.24E+75,12,1.40E+76,180,1.66E+73,75.72,76.15,73.22
0,2750,30,1.57E+77,12,1.68E+77,230,3.81E+75,77.20,77.23,75.58
0,2800,25,3.93E+78,12,2.02E+78,290,1.11E+78,78.59,78.30,78.04
0,2850,20,7.86E+79,12,2.42E+79,260,2.87E+80,79.90,79.38,80.46
0,2900,15,1.18E+81,12,2.90E+80,350,1.01E+83,81.07,80.46,83.00
0,2950,10,1.18E+82,12,3.48E+81,500,5.03E+85,82.07,81.54,85.70
0,3000,1000,1.18E+85,1.00E+13,3.48E+94,1.00E+03,5.03E+88,85.07,94.54,88.70
0,3050,100,1.18E+87,12,4.18E+95,2,1.01E+89,87.07,95.62,89.00
0,3100,95,1.12E+89,12,5.02E+96,5,5.03E+89,89.05,96.70,89.70
0,3150,90,1.01E+91,12,6.02E+97,10,5.03E+90,91.00,97.78,90.70
0,3200,85,8.57E+92,12,7.22E+98,15,7.54E+91,92.93,98.86,91.88
0,3250,80,6.85E+94,12,8.67E+99,20,1.51E+93,94.84,99.94,93.18
0,3300,75,5.14E+96,12,1.04E+101,30,4.53E+94,96.71,101.02,94.66
0,3350,70,3.60E+98,12,1.25E+102,40,1.81E+96,98.56,102.10,96.26
0,3400,65,2.34E+100,12,1.50E+103,50,9.05E+97,100.37,103.18,97.96
0,3450,60,1.40E+102,12,1.80E+104,60,5.43E+99,102.15,104.25,99.73
0,3500,55,7.72E+103,12,2.16E+105,70,3.80E+101,103.89,105.33,101.58
0,3550,50,3.86E+105,12,2.59E+106,90,3.42E+103,105.59,106.41,103.53
0,3600,45,1.74E+107,12,3.11E+107,110,3.76E+105,107.24,107.49,105.58
0,3650,40,6.95E+108,12,3.73E+108,140,5.27E+107,108.84,108.57,107.72
0,3700,35,2.43E+110,12,4.47E+109,180,9.48E+109,110.39,109.65,109.98
0,3750,30,7.29E+111,12,5.37E+110,230,2.18E+112,111.86,110.73,112.34
0,3800,25,1.82E+113,12,6.44E+111,290,6.33E+114,113.26,111.81,114.80
0,3850,20,3.65E+114,12,7.73E+112,260,1.64E+117,114.56,112.89,117.22
0,3900,15,5.47E+115,12,9.28E+113,350,5.76E+119,115.74,113.97,119.76
0,3950,10,5.47E+116,12,1.11E+115,500,2.88E+122,116.74,115.05,122.46
0,4000,1000,5.47E+119,1.00E+13,1.11E+128,1.00E+03,2.88E+125,119.74,128.05,125.46
0,4050,100,5.47E+121,8,8.90E+128,2,5.76E+125,121.74,128.95,125.76
0,4100,95,5.20E+123,8,7.12E+129,5,2.88E+126,123.72,129.85,126.46
0,4150,90,4.68E+125,8,5.70E+130,10,2.88E+127,125.67,130.76,127.46
0,4200,85,3.97E+127,8,4.56E+131,15,4.32E+128,127.60,131.66,128.64
0,4250,80,3.18E+129,8,3.65E+132,20,8.63E+129,129.50,132.56,129.94
0,4300,75,2.38E+131,8,2.92E+133,30,2.59E+131,131.38,133.47,131.41
0,4350,70,1.67E+133,8,2.33E+134,40,1.04E+133,133.22,134.37,133.02
0,4400,65,1.09E+135,8,1.87E+135,50,5.18E+134,135.04,135.27,134.71
0,4450,60,6.51E+136,8,1.49E+136,60,3.11E+136,136.81,136.17,136.49
0,4500,55,3.58E+138,8,1.20E+137,70,2.18E+138,138.55,137.08,138.34
0,4550,50,1.79E+140,8,9.56E+137,90,1.96E+140,140.25,137.98,140.29
0,4600,45,8.06E+141,8,7.65E+138,110,2.15E+142,141.91,138.88,142.33
0,4650,40,3.22E+143,8,6.12E+139,140,3.02E+144,143.51,139.79,144.48
0,4700,35,1.13E+145,8,4.90E+140,180,5.43E+146,145.05,140.69,146.73
0,4750,30,3.38E+146,8,3.92E+141,230,1.25E+149,146.53,141.59,149.10
0,4800,25,8.46E+147,8,3.13E+142,290,3.62E+151,147.93,142.50,151.56
0,4850,20,1.69E+149,8,2.51E+143,260,9.41E+153,149.23,143.40,153.97
