HelperID,UnlockOrder,HelperType,ClassBonusType,SpatialBonusType,PurchaseCost1,AscendCostExpo1,AscendCostExpo2,AscendCostExpo3,AscendCostExpo4,AscendCostExpo5,AscendCostExpo6,DefaultDamageAmount,AscendDamageExpo1,AscendDamageExpo2,AscendDamageExpo3,AscendDamageExpo4,AscendDamageExpo5,AscendDamageExpo6,IsFlying,IsInGame,Name
H18,0,Spell,SpellHelperDamage,GroundHelperDamage,30.00,2.5500E+02,2.2160E+03,4.7485E+03,7.2810E+03,9.8135E+03,1.2346E+04,3.00E+01,2.5800E+02,1.8360E+03,3.8085E+03,5.6470E+03,7.3369E+03,9.0267E+03,FALSE,1,Maya Muerta the Watcher
H01,1,Melee,MeleeHelperDamage,GroundHelperDamage,180.00,2.5900E+02,2.2200E+03,4.7525E+03,7.2850E+03,9.8175E+03,1.2350E+04,1.31E+02,2.6100E+02,1.8390E+03,3.8111E+03,5.6491E+03,7.3390E+03,9.0288E+03,FALSE,1,Zato the Blind Staff Master
H21,2,Melee,MeleeHelperDamage,GroundHelperDamage,800.00,2.6700E+02,2.2280E+03,4.7605E+03,7.2930E+03,9.8255E+03,1.2358E+04,4.40E+02,2.6800E+02,1.8452E+03,3.8167E+03,5.6541E+03,7.3440E+03,9.0338E+03,FALSE,1,"Sophia, Champion of Swords "
H02,3,Melee,MeleeHelperDamage,GroundHelperDamage,4.0000E+03,2.7900E+02,2.2400E+03,4.7725E+03,7.3050E+03,9.8375E+03,1.2370E+04,1.60E+03,2.7900E+02,1.8547E+03,3.8253E+03,5.6620E+03,7.3519E+03,9.0417E+03,FALSE,1,"Lance, Knight of Cobalt Steel "
H06,4,Ranged,RangedHelperDamage,GroundHelperDamage,2.8000E+04,2.9500E+02,2.2560E+03,4.7885E+03,7.3210E+03,9.8535E+03,1.2386E+04,8.12E+03,2.9400E+02,1.8674E+03,3.8370E+03,5.6727E+03,7.3626E+03,9.0524E+03,FALSE,1,Pingo of the Tori
H24,5,Ranged,RangedHelperDamage,GroundHelperDamage,2.2400E+07,3.2000E+02,2.2810E+03,4.8135E+03,7.3460E+03,9.8785E+03,1.2411E+04,4.48E+06,3.1500E+02,1.8874E+03,3.8557E+03,5.6902E+03,7.3801E+03,9.0699E+03,FALSE,1,Rosabella Bonnie Archer
H08,6,Melee,MeleeHelperDamage,GroundHelperDamage,2.6880E+11,3.5000E+02,2.3110E+03,4.8435E+03,7.3760E+03,9.9085E+03,1.2441E+04,3.76E+10,3.4000E+02,1.9111E+03,3.8774E+03,5.7099E+03,7.3998E+03,9.0896E+03,FALSE,1,Gulbrand the Destroyer
H26,7,Ranged,RangedHelperDamage,GroundHelperDamage,2.1504E+14,3.8500E+02,2.3460E+03,4.8785E+03,7.4110E+03,9.9435E+03,1.2476E+04,1.87E+13,3.6700E+02,1.9381E+03,3.9015E+03,5.7313E+03,7.4212E+03,9.1110E+03,FALSE,1,Captain Davey Cannon
H09,8,Melee,MeleeHelperDamage,GroundHelperDamage,2.3654E+18,4.2500E+02,2.3860E+03,4.9185E+03,7.4510E+03,9.9835E+03,1.2516E+04,1.25E+17,4.0200E+02,1.9692E+03,3.9295E+03,5.7564E+03,7.4463E+03,9.1361E+03,FALSE,1,Rhys Mage of Order Evetga
H04,9,Spell,SpellHelperDamage,GroundHelperDamage,1.8924E+22,4.7000E+02,2.4310E+03,4.9635E+03,7.4960E+03,1.0029E+04,1.2561E+04,5.68E+20,4.4115E+02,2.0043E+03,3.9614E+03,5.7852E+03,7.4751E+03,9.1649E+03,FALSE,1,"Kronus, Bringer of Judgement"
H20,10,Melee,MeleeHelperDamage,GroundHelperDamage,9.4618E+26,4.9500E+02,2.4810E+03,5.0135E+03,7.5460E+03,1.0079E+04,1.2611E+04,1.51E+25,4.5965E+02,2.0434E+03,3.9972E+03,5.8178E+03,7.5077E+03,9.1975E+03,FALSE,1,"Cosette, Jewel of House Sabre "
H10,11,Spell,SpellHelperDamage,GroundHelperDamage,8.5156E+30,5.2600E+02,2.5335E+03,5.0660E+03,7.5985E+03,1.0131E+04,1.2664E+04,7.15E+28,4.8350E+02,2.0844E+03,4.0349E+03,5.8522E+03,7.5421E+03,9.2319E+03,FALSE,1,Kiki the Dragon Rider
H03,12,Ranged,RangedHelperDamage,GroundHelperDamage,8.5156E+34,5.7800E+02,2.5885E+03,5.1210E+03,7.6535E+03,1.0186E+04,1.2719E+04,3.41E+32,5.2770E+02,2.1275E+03,4.0744E+03,5.8884E+03,7.5783E+03,9.2681E+03,FALSE,1,"Maddie, Shadow Thief "
H25,13,Spell,SpellHelperDamage,GroundHelperDamage,1.5328E+39,6.3100E+02,2.6460E+03,5.1785E+03,7.7110E+03,1.0244E+04,1.2776E+04,2.76E+36,5.7225E+02,2.1724E+03,4.1158E+03,5.9264E+03,7.6163E+03,9.3061E+03,FALSE,1,Beany Sprout the 1st
H27,14,Ranged,RangedHelperDamage,GroundHelperDamage,1.8394E+41,6.8500E+02,2.7060E+03,5.2385E+03,7.7710E+03,1.0304E+04,1.2836E+04,1.32E+38,6.1715E+02,2.2194E+03,4.1591E+03,5.9662E+03,7.6560E+03,9.3458E+03,FALSE,1,Sawyer the Wild Gunslinger
H22,15,Spell,SpellHelperDamage,GroundHelperDamage,1.6787E+43,7.4000E+02,2.7685E+03,5.3010E+03,7.8335E+03,1.0366E+04,1.2899E+04,4.53E+39,6.6240E+02,2.2682E+03,4.2042E+03,6.0078E+03,7.6977E+03,9.3875E+03,FALSE,1,Lil' Ursa
H05,16,Ranged,RangedHelperDamage,GroundHelperDamage,2.3109E+47,7.9600E+02,2.8335E+03,5.3660E+03,7.8985E+03,1.0431E+04,1.2964E+04,2.17E+43,7.0800E+02,2.3189E+03,4.2512E+03,6.0511E+03,7.7410E+03,9.4308E+03,FALSE,1,Saje the Garden Keeper
H13,17,Spell,SpellHelperDamage,GroundHelperDamage,7.9191E+50,8.5300E+02,2.9010E+03,5.4335E+03,7.9660E+03,1.0499E+04,1.3031E+04,2.38E+46,7.5395E+02,2.3716E+03,4.3000E+03,6.0962E+03,7.7860E+03,9.4758E+03,FALSE,1,Wally Wat the Magician
H19,18,Melee,MeleeHelperDamage,GroundHelperDamage,2.5555E+56,9.1100E+02,2.9710E+03,5.5035E+03,8.0360E+03,1.0569E+04,1.3101E+04,2.17E+51,8.0025E+02,2.4262E+03,4.3507E+03,6.1431E+03,7.8329E+03,9.5227E+03,FALSE,1,Jayce the Ruthless Cutter
H29,19,Spell,SpellHelperDamage,GroundHelperDamage,1.3111E+61,9.7000E+02,3.0435E+03,5.5760E+03,8.1085E+03,1.0641E+04,1.3174E+04,2.88E+55,8.4709E+02,2.4827E+03,4.4031E+03,6.1917E+03,7.8815E+03,9.5713E+03,FALSE,1,The Great Pharaoh
H12,20,Melee,MeleeHelperDamage,GroundHelperDamage,1.9667E+63,1.0300E+03,3.1185E+03,5.6510E+03,8.1835E+03,1.0716E+04,1.3249E+04,4.33E+57,8.9449E+02,2.5410E+03,4.4574E+03,6.2420E+03,7.9318E+03,9.6216E+03,FALSE,1,Boomoh Doctor
H23,21,Ranged,RangedHelperDamage,GroundHelperDamage,1.7700E+68,1.0910E+03,3.1960E+03,5.7285E+03,8.2610E+03,1.0794E+04,1.3326E+04,3.89E+62,9.4247E+02,2.6013E+03,4.5135E+03,6.2941E+03,7.9839E+03,9.6737E+03,FALSE,1,Dex-1000
H30,22,Spell,SpellHelperDamage,GroundHelperDamage,3.5400E+72,1.1530E+03,3.2760E+03,5.8085E+03,8.3410E+03,1.0874E+04,1.3406E+04,7.79E+66,9.9105E+02,2.6634E+03,4.5714E+03,6.3479E+03,8.0377E+03,9.7275E+03,FALSE,1,The Great Madame Cass
H11,23,Ranged,RangedHelperDamage,GroundHelperDamage,1.4160E+78,1.2160E+03,3.3585E+03,5.8910E+03,8.4235E+03,1.0956E+04,1.3489E+04,3.12E+72,1.0403E+03,2.7274E+03,4.6311E+03,6.4035E+03,8.0933E+03,9.7831E+03,FALSE,1,Lala Quickshot
H07,24,Melee,MeleeHelperDamage,GroundHelperDamage,1.5576E+84,1.2800E+03,3.4435E+03,5.9760E+03,8.5085E+03,1.1041E+04,1.3574E+04,3.43E+78,1.0901E+03,2.7932E+03,4.6925E+03,6.4607E+03,8.1505E+03,9.8403E+03,FALSE,1,Aya the Lightning Violet
H32,25,Spell,SpellHelperDamage,GroundHelperDamage,6.8534E+91,1.3450E+03,3.5310E+03,6.0635E+03,8.5960E+03,1.1129E+04,1.3661E+04,1.51E+86,1.1406E+03,2.8609E+03,4.7558E+03,6.5197E+03,8.2095E+03,9.8993E+03,FALSE,1,Lady Lucy the Night Caster
H31,26,Spell,SpellHelperDamage,GroundHelperDamage,2.4124E+100,1.4110E+03,3.6210E+03,6.1535E+03,8.6860E+03,1.1219E+04,1.3751E+04,5.31E+94,1.1918E+03,2.9304E+03,4.8208E+03,6.5803E+03,8.2700E+03,9.9598E+03,FALSE,1,Jazz Rockerfellow
H34,27,Melee,MeleeHelperDamage,FlyingHelperDamage,6.7933E+109,1.4780E+03,3.7135E+03,6.2460E+03,8.7785E+03,1.1311E+04,1.3844E+04,3.53E+104,1.2437E+03,3.0018E+03,4.8876E+03,6.6426E+03,8.3324E+03,1.0022E+04,TRUE,1,Maple the Autumn Guardian
H15,28,Ranged,RangedHelperDamage,FlyingHelperDamage,1.5304E+120,1.5460E+03,3.8085E+03,6.3410E+03,8.8735E+03,1.1406E+04,1.3939E+04,1.53E+116,1.2963E+03,3.0750E+03,4.9561E+03,6.7067E+03,8.3965E+03,1.0086E+04,TRUE,1,Kin the Puffy Beast
