BoardNumber,BoardSize,Rows,Columns,SuccessesOnBoard,BombsOnBoard,SuccessesNeededToWin,RewardString,ChestIconIndex
0,9,3,3,8,1,3,"HolidayCurrency:3,Equipment:3",0
1,9,3,3,8,1,3,"HolidayCurrency:3,HelperWeapon:1",0
2,9,3,3,8,1,3,"HolidayCurrency:3,Diamonds:10",0
3,9,3,3,8,1,3,"HolidayCurrency:3,RaidCard:5",0
4,16,4,4,12,4,3,"HolidayCurrency:6,Equipment:Weapon_Nutcracker",1
5,9,3,3,8,1,3,"HolidayCurrency:3,Equipment:3",0
6,9,3,3,8,1,3,"HolidayCurrency:3,Diamonds:10",0
7,9,3,3,8,1,3,"HolidayCurrency:3,RaidCard:5",0
8,16,4,4,12,4,3,"HolidayCurrency:6,SkillPoint:1",1
9,9,3,3,8,1,3,"HolidayCurrency:3,Perk:1",0
10,9,3,3,8,1,3,"HolidayCurrency:3,Diamonds:10",0
11,9,3,3,8,1,3,"HolidayCurrency:3,RaidCard:5",0
12,16,4,4,12,4,3,"HolidayCurrency:6,Equipment:Hat_Nutcracker",1
13,9,3,3,7,2,3,"HolidayCurrency:3,Equipment:3",0
14,9,3,3,7,2,3,"HolidayCurrency:3,Diamonds:10",0
15,9,3,3,7,2,3,"HolidayCurrency:3,RaidCard:5",0
16,25,5,5,19,6,4,"HolidayCurrency:9,Equipment:Legendary",2
17,9,3,3,7,2,3,"HolidayCurrency:3,HelperWeapon:1",0
18,9,3,3,7,2,3,"HolidayCurrency:3,Diamonds:10",0
19,9,3,3,7,2,3,"HolidayCurrency:3,RaidCard:5",0
20,16,4,4,12,4,3,"HolidayCurrency:6,FortuneHelperWeapon:1",1
21,9,3,3,7,2,3,"HolidayCurrency:3,Equipment:3",0
22,9,3,3,7,2,3,"HolidayCurrency:3,Diamonds:10",0
23,9,3,3,7,2,3,"HolidayCurrency:3,RaidCard:5",0
24,16,4,4,12,4,3,"HolidayCurrency:6,PetsLvl1:5",1
25,9,3,3,7,2,3,"HolidayCurrency:6,Equipment:3",0
26,9,3,3,7,2,3,"HolidayCurrency:6,Diamonds:10",0
27,9,3,3,7,2,3,"HolidayCurrency:6,RaidCard:5",0
28,16,4,4,12,4,3,"HolidayCurrency:12,Perk:1",1
29,9,3,3,7,2,3,"HolidayCurrency:6,Equipment:3",0
30,9,3,3,7,2,3,"HolidayCurrency:6,Diamonds:10",0
31,9,3,3,7,2,3,"HolidayCurrency:6,RaidCard:5",0
32,25,5,5,18,7,4,"HolidayCurrency:18,Equipment:Aura_Nutcracker",2
33,9,3,3,7,2,3,"HolidayCurrency:6,PetsLvl1:1",0
34,9,3,3,7,2,3,"HolidayCurrency:6,Diamonds:10",0
35,9,3,3,7,2,3,"HolidayCurrency:6,RaidCard:5",0
