HolidayEventGlobalRaidSoloContributionRewardIndex,GlobalRaidDamageRequired,RewardString,RaidCard,Shards
0,100000,"RaidCard:5,EquipmentShards:2",5,2
1,200000,"RaidCard:10,EquipmentShards:4",10,4
2,300000,"RaidCard:15,EquipmentShards:6",15,6
3,400000,"RaidCard:20,EquipmentShards:8",20,8
4,500000,"RaidCard:25,EquipmentShards:10",25,10
5,600000,"RaidCard:30,EquipmentShards:12",30,12
6,700000,"RaidCard:35,EquipmentShards:14",35,14
7,800000,"RaidCard:40,EquipmentShards:16",40,16
8,900000,"RaidCard:45,EquipmentShards:18",45,18
9,1000000,"RaidCard:50,EquipmentShards:20",50,20
10,1100000,"RaidCard:55,EquipmentShards:22",55,22
11,1200000,"RaidCard:60,EquipmentShards:24",60,24
12,1300000,"RaidCard:65,EquipmentShards:26",65,26
13,1400000,"RaidCard:70,EquipmentShards:28",70,28
14,1500000,"RaidCard:75,EquipmentShards:30",75,30
15,1600000,"RaidCard:80,EquipmentShards:32",80,32
16,1700000,"RaidCard:85,EquipmentShards:34",85,34
17,1800000,"RaidCard:90,EquipmentShards:36",90,36
18,1900000,"RaidCard:95,EquipmentShards:38",95,38
19,2000000,"RaidCard:100,EquipmentShards:40",100,40
20,2250000,"RaidCard:105,EquipmentShards:42",105,42
21,2500000,"RaidCard:110,EquipmentShards:44",110,44
22,2750000,"RaidCard:115,EquipmentShards:46",115,46
23,3000000,"RaidCard:120,EquipmentShards:48",120,48
24,3250000,"RaidCard:125,EquipmentShards:50",125,50
25,3500000,"RaidCard:130,EquipmentShards:52",130,52
26,3750000,"RaidCard:135,EquipmentShards:54",135,54
27,4000000,"RaidCard:140,EquipmentShards:56",140,56
28,4250000,"RaidCard:145,EquipmentShards:58",145,58
29,4500000,"RaidCard:150,EquipmentShards:60",150,60
30,4750000,"RaidCard:155,EquipmentShards:62",155,62
31,5000000,"RaidCard:160,EquipmentShards:64",160,64
32,5500000,"RaidCard:165,EquipmentShards:66",165,66
33,6000000,"RaidCard:170,EquipmentShards:68",170,68
34,6500000,"RaidCard:175,EquipmentShards:70",175,70
35,7000000,"RaidCard:180,EquipmentShards:72",180,72
36,7500000,"RaidCard:185,EquipmentShards:74",185,74
37,8000000,"RaidCard:190,EquipmentShards:76",190,76
38,8500000,"RaidCard:195,EquipmentShards:78",195,78
39,9000000,"RaidCard:200,EquipmentShards:80",200,80
40,9500000,"RaidCard:205,EquipmentShards:82",205,82
41,10000000,"RaidCard:210,EquipmentShards:84",210,84
42,11000000,"RaidCard:215,EquipmentShards:86",215,86
43,12000000,"RaidCard:220,EquipmentShards:88",220,88
44,13000000,"RaidCard:225,EquipmentShards:90",225,90
45,14000000,"RaidCard:230,EquipmentShards:92",230,92
46,15000000,"RaidCard:235,EquipmentShards:94",235,94
47,16000000,"RaidCard:240,EquipmentShards:96",240,96
48,17000000,"RaidCard:245,EquipmentShards:98",245,98
49,18000000,"RaidCard:250,EquipmentShards:100",250,100
50,19000000,"RaidCard:255,EquipmentShards:102",255,102
51,20000000,"RaidCard:260,EquipmentShards:104",260,104
52,22500000,"RaidCard:265,EquipmentShards:106",265,106
53,25000000,"RaidCard:270,EquipmentShards:108",270,108
54,27500000,"RaidCard:275,EquipmentShards:110",275,110
55,30000000,"RaidCard:280,EquipmentShards:112",280,112
56,32500000,"RaidCard:285,EquipmentShards:114",285,114
57,35000000,"RaidCard:290,EquipmentShards:116",290,116
58,37500000,"RaidCard:295,EquipmentShards:118",295,118
59,40000000,"RaidCard:300,EquipmentShards:120",300,120
60,42500000,"RaidCard:305,EquipmentShards:122",305,122
61,45000000,"RaidCard:310,EquipmentShards:124",310,124
62,47500000,"RaidCard:315,EquipmentShards:126",315,126
63,50000000,"RaidCard:320,EquipmentShards:128",320,128
64,52500000,"RaidCard:325,EquipmentShards:130",325,130
65,55000000,"RaidCard:330,EquipmentShards:132",330,132
66,57500000,"RaidCard:335,EquipmentShards:134",335,134
67,60000000,"RaidCard:340,EquipmentShards:136",340,136
68,62500000,"RaidCard:345,EquipmentShards:138",345,138
69,65000000,"RaidCard:350,EquipmentShards:140",350,140
70,67500000,"RaidCard:355,EquipmentShards:142",355,142
71,70000000,"RaidCard:360,EquipmentShards:144",360,144
72,72500000,"RaidCard:365,EquipmentShards:146",365,146
73,75000000,"RaidCard:370,EquipmentShards:148",370,148
74,77500000,"RaidCard:375,EquipmentShards:150",375,150
75,80000000,"RaidCard:380,EquipmentShards:152",380,152
76,82500000,"RaidCard:385,EquipmentShards:154",385,154
77,85000000,"RaidCard:390,EquipmentShards:156",390,156
78,87500000,"RaidCard:395,EquipmentShards:158",395,158
79,90000000,"RaidCard:400,EquipmentShards:160",400,160
80,92500000,"RaidCard:405,EquipmentShards:162",405,162
