AttackNumber,Time,TargetPartID,DurationActive,WarningDuration
1,29,Head,2,0.5
1,27,Chest,2,0.5
1,25,RightArm,2,0.5
1,23,LeftArm,2,0.5
1,21,RightLeg,2,0.5
1,19,LeftLeg,2,0.5
1,17,RightFinger,2,0.5
1,15,LeftFinger,2,0.5
1,13,RightFinger,2,0.5
1,11,LeftLeg,2,0.5
1,9,RightLeg,2,0.5
1,7,LeftArm,2,0.5
1,5,RightArm,2,0.5
1,3,Chest,2,0.5
1,1,Head,2,0.5
2,29,Head,2,1
2,27,Chest,1.5,1
2,25.5,RightLeg,1.5,1
2,25.5,LeftLeg,1.5,1
2,24,LeftFinger,1.5,1
2,22.5,LeftArm,1.5,1
2,21,Head,1,0.75
2,20,Chest,1,0.75
2,19,LeftLeg,1,0.75
2,19,RightLeg,1,0.75
2,18,RightFinger,1,0.75
2,17,RightArm,1,0.75
2,16,Head,1,0.75
2,15,Chest,0.75,0.5
2,14.25,LeftFinger,0.75,0.5
2,14.25,RightFinger,0.75,0.5
2,13.5,Chest,0.75,0.5
2,12.75,Head,0.75,0.5
2,12,Chest,0.75,0.5
2,11.25,LeftLeg,0.75,0.5
2,11.25,RightLeg,0.75,0.5
2,10.5,RightFinger,0.75,0.5
2,9.75,RightArm,0.75,0.5
2,9,Head,0.5,0.4
2,8.5,LeftArm,0.5,0.4
2,8.5,RightArm,0.5,0.4
2,8,Head,0.5,0.4
2,7.5,Chest,0.5,0.4
2,7,Head,1,0.75
2,6,Chest,0.5,0.4
2,5.5,LeftLeg,0.5,0.4
2,5.5,RightLeg,0.5,0.4
2,5,LeftFinger,0.5,0.4
2,4.5,LeftArm,0.5,0.4
2,4,Head,0.5,0.4
2,3.5,Chest,0.5,0.4
2,3,LeftLeg,0.5,0.4
2,3,RightLeg,0.5,0.4
2,2.5,LeftFinger,0.5,0.4
2,2.5,RightFinger,0.5,0.4
2,2,Chest,0.5,0.4
2,1.5,Head,0.5,0.4
2,1,Chest,0.5,0.4
2,0.5,LeftLeg,0.5,0.4
3,29,Chest,3,1
3,26.5,Head,0.33,2
3,26.335,RightArm,0.33,0.33
3,26.17,RightFinger,0.33,0.33
3,26.005,RightLeg,0.33,0.33
3,25.84,LeftLeg,0.33,0.33
3,25.675,LeftFinger,0.33,0.33
3,25.51,LeftArm,0.33,0.33
3,25.345,Head,0.33,0.33
3,25.18,Chest,3,0.33
3,22.68,RightLeg,0.33,2
3,22.515,RightFinger,0.33,0.3
3,22.35,RightArm,0.33,0.27
3,22.185,Head,0.33,0.24
3,22.02,Chest,0.33,0.21
3,21.855,RightLeg,0.33,0.18
3,21.69,RightFinger,0.33,0.15
3,21.525,RightArm,0.33,0.15
3,21.36,Head,0.33,0.15
3,21.195,Chest,3,0.15
3,19.195,RightArm,1,0.5
3,18.195,RightFinger,0.9333333333,0.5
3,17.26166667,RightLeg,0.8666666667,0.5
3,16.395,Chest,0.8,0.5
3,15.595,LeftArm,0.74,0.5
3,14.855,LeftFinger,0.68,0.5
3,14.175,LeftLeg,0.62,0.5
3,13.555,Chest,0.5666666667,0.5
3,12.98833333,RightArm,0.5133333333,0.5
3,12.475,RightFinger,0.4733333333,0.5
3,12.00166667,RightLeg,0.4333333333,0.5
3,11.56833333,LeftLeg,0.4,0.5
3,11.16833333,LeftFinger,0.3666666667,0.5
3,10.80166667,LeftArm,0.3333333333,0.5
3,10.46833333,Head,0.32,0.5
3,10.14833333,RightArm,0.3066666667,0.5
3,9.841666667,Chest,0.2933333333,0.5
3,9.548333333,LeftLeg,0.28,0.5
3,9.268333333,LeftFinger,0.2666666667,0.5
3,9.001666667,LeftArm,0.2666666667,0.5
3,8.735,Chest,0.2666666667,0.5
3,8.468333333,RightLeg,0.2666666667,0.5
3,8.201666667,RightFinger,0.2666666667,0.5
3,7.935,RightArm,0.2666666667,0.5
3,7.668333333,Chest,0.2666666667,0.5
3,7.401666667,LeftLeg,0.2666666667,0.5
3,7.135,LeftFinger,0.2666666667,0.5
3,6.868333333,LeftArm,0.2666666667,0.5
3,6.601666667,Head,0.2666666667,0.5
3,6.335,RightArm,0.2666666667,0.5
3,6.068333333,RightFinger,0.2666666667,0.5
3,5.801666667,RightLeg,0.2666666667,0.5
3,5.535,LeftLeg,0.2666666667,0.5
3,5.268333333,Chest,0.2666666667,0.5
3,5.001666667,RightArm,0.2666666667,0.5
3,4.735,RightFinger,0.2666666667,0.5
3,4.468333333,RightLeg,0.2666666667,0.5
3,4.201666667,Chest,0.2666666667,0.5
3,3.935,LeftArm,0.2666666667,0.5
3,3.668333333,LeftFinger,0.2666666667,0.5
3,3.401666667,LeftLeg,0.2666666667,0.5
3,3.135,Chest,0.2666666667,0.5
3,2.868333333,RightArm,0.2666666667,0.5
3,2.601666667,RightFinger,0.2666666667,0.5
3,2.335,RightLeg,0.2666666667,0.5
3,2.068333333,LeftLeg,0.2666666667,0.5
3,1.801666667,LeftFinger,0.2666666667,0.5
3,1.535,LeftArm,0.2666666667,0.5
3,1.268333333,Head,0.2666666667,0.5
3,1.001666667,RightArm,0.2666666667,0.5
3,0.735,Chest,0.2666666667,0.5
3,0.4683333333,LeftLeg,0.2666666667,0.5
3,0.2016666667,LeftFinger,0.2016666667,0.5
4,29,Head,2,0.5
4,27,Chest,2,0.5
4,25,RightArm,2,0.5
4,23,LeftArm,2,0.5
4,21,RightLeg,2,0.5
4,19,LeftLeg,2,0.5
4,17,RightFinger,2,0.5
4,15,LeftFinger,2,0.5
4,13,RightFinger,2,0.5
4,11,LeftLeg,2,0.5
4,9,RightLeg,2,0.5
4,7,LeftArm,2,0.5
4,5,RightArm,2,0.5
4,3,Chest,2,0.5
4,1,Head,2,0.5
5,29,Head,2,1
5,27,Chest,1.5,1
5,25.5,RightLeg,1.5,1
5,25.5,LeftLeg,1.5,1
5,24,LeftFinger,1.5,1
5,22.5,LeftArm,1.5,1
5,21,Head,1,0.75
5,20,Chest,1,0.75
5,19,LeftLeg,1,0.75
5,19,RightLeg,1,0.75
5,18,RightFinger,1,0.75
5,17,RightArm,1,0.75
5,16,Head,1,0.75
5,15,Chest,0.75,0.5
5,14.25,LeftFinger,0.75,0.5
5,14.25,RightFinger,0.75,0.5
5,13.5,Chest,0.75,0.5
5,12.75,Head,0.75,0.5
5,12,Chest,0.75,0.5
5,11.25,LeftLeg,0.75,0.5
5,11.25,RightLeg,0.75,0.5
5,10.5,RightFinger,0.75,0.5
5,9.75,RightArm,0.75,0.5
5,9,Head,0.5,0.4
5,8.5,LeftArm,0.5,0.4
5,8.5,RightArm,0.5,0.4
5,8,Head,0.5,0.4
5,7.5,Chest,0.5,0.4
5,7,Head,1,0.75
5,6,Chest,0.5,0.4
5,5.5,LeftLeg,0.5,0.4
5,5.5,RightLeg,0.5,0.4
5,5,LeftFinger,0.5,0.4
5,4.5,LeftArm,0.5,0.4
5,4,Head,0.5,0.4
5,3.5,Chest,0.5,0.4
5,3,LeftLeg,0.5,0.4
5,3,RightLeg,0.5,0.4
5,2.5,LeftFinger,0.5,0.4
5,2.5,RightFinger,0.5,0.4
5,2,Chest,0.5,0.4
5,1.5,Head,0.5,0.4
5,1,Chest,0.5,0.4
5,0.5,LeftLeg,0.5,0.4
6,29,Chest,3,1
6,26.5,Head,0.33,2
6,26.335,RightArm,0.33,0.33
6,26.17,RightFinger,0.33,0.33
6,26.005,RightLeg,0.33,0.33
6,25.84,LeftLeg,0.33,0.33
6,25.675,LeftFinger,0.33,0.33
6,25.51,LeftArm,0.33,0.33
6,25.345,Head,0.33,0.33
6,25.18,Chest,3,0.33
6,22.68,RightLeg,0.33,2
6,22.515,RightFinger,0.33,0.3
6,22.35,RightArm,0.33,0.27
6,22.185,Head,0.33,0.24
6,22.02,Chest,0.33,0.21
6,21.855,RightLeg,0.33,0.18
6,21.69,RightFinger,0.33,0.15
6,21.525,RightArm,0.33,0.15
6,21.36,Head,0.33,0.15
6,21.195,Chest,3,0.15
6,19.195,RightArm,1,0.5
6,18.195,RightFinger,0.9333333333,0.5
6,17.26166667,RightLeg,0.8666666667,0.5
6,16.395,Chest,0.8,0.5
6,15.595,LeftArm,0.74,0.5
6,14.855,LeftFinger,0.68,0.5
6,14.175,LeftLeg,0.62,0.5
6,13.555,Chest,0.5666666667,0.5
6,12.98833333,RightArm,0.5133333333,0.5
6,12.475,RightFinger,0.4733333333,0.5
6,12.00166667,RightLeg,0.4333333333,0.5
6,11.56833333,LeftLeg,0.4,0.5
6,11.16833333,LeftFinger,0.3666666667,0.5
6,10.80166667,LeftArm,0.3333333333,0.5
6,10.46833333,Head,0.32,0.5
6,10.14833333,RightArm,0.3066666667,0.5
6,9.841666667,Chest,0.2933333333,0.5
6,9.548333333,LeftLeg,0.28,0.5
6,9.268333333,LeftFinger,0.2666666667,0.5
6,9.001666667,LeftArm,0.2666666667,0.5
6,8.735,Chest,0.2666666667,0.5
6,8.468333333,RightLeg,0.2666666667,0.5
6,8.201666667,RightFinger,0.2666666667,0.5
6,7.935,RightArm,0.2666666667,0.5
6,7.668333333,Chest,0.2666666667,0.5
6,7.401666667,LeftLeg,0.2666666667,0.5
6,7.135,LeftFinger,0.2666666667,0.5
6,6.868333333,LeftArm,0.2666666667,0.5
6,6.601666667,Head,0.2666666667,0.5
6,6.335,RightArm,0.2666666667,0.5
6,6.068333333,RightFinger,0.2666666667,0.5
6,5.801666667,RightLeg,0.2666666667,0.5
6,5.535,LeftLeg,0.2666666667,0.5
6,5.268333333,Chest,0.2666666667,0.5
6,5.001666667,RightArm,0.2666666667,0.5
6,4.735,RightFinger,0.2666666667,0.5
6,4.468333333,RightLeg,0.2666666667,0.5
6,4.201666667,Chest,0.2666666667,0.5
6,3.935,LeftArm,0.2666666667,0.5
6,3.668333333,LeftFinger,0.2666666667,0.5
6,3.401666667,LeftLeg,0.2666666667,0.5
6,3.135,Chest,0.2666666667,0.5
6,2.868333333,RightArm,0.2666666667,0.5
6,2.601666667,RightFinger,0.2666666667,0.5
6,2.335,RightLeg,0.2666666667,0.5
6,2.068333333,LeftLeg,0.2666666667,0.5
6,1.801666667,LeftFinger,0.2666666667,0.5
6,1.535,LeftArm,0.2666666667,0.5
6,1.268333333,Head,0.2666666667,0.5
6,1.001666667,RightArm,0.2666666667,0.5
6,0.735,Chest,0.2666666667,0.5
6,0.4683333333,LeftLeg,0.2666666667,0.5
6,0.2016666667,LeftFinger,0.2016666667,0.5
7,29,Head,2,0.5
7,27,Chest,2,0.5
7,25,RightArm,2,0.5
7,23,LeftArm,2,0.5
7,21,RightLeg,2,0.5
7,19,LeftLeg,2,0.5
7,17,RightFinger,2,0.5
7,15,LeftFinger,2,0.5
7,13,RightFinger,2,0.5
7,11,LeftLeg,2,0.5
7,9,RightLeg,2,0.5
7,7,LeftArm,2,0.5
7,5,RightArm,2,0.5
7,3,Chest,2,0.5
7,1,Head,2,0.5
8,29,Head,2,1
8,27,Chest,1.5,1
8,25.5,RightLeg,1.5,1
8,25.5,LeftLeg,1.5,1
8,24,LeftFinger,1.5,1
8,22.5,LeftArm,1.5,1
8,21,Head,1,0.75
8,20,Chest,1,0.75
8,19,LeftLeg,1,0.75
8,19,RightLeg,1,0.75
8,18,RightFinger,1,0.75
8,17,RightArm,1,0.75
8,16,Head,1,0.75
8,15,Chest,0.75,0.5
8,14.25,LeftFinger,0.75,0.5
8,14.25,RightFinger,0.75,0.5
8,13.5,Chest,0.75,0.5
8,12.75,Head,0.75,0.5
8,12,Chest,0.75,0.5
8,11.25,LeftLeg,0.75,0.5
8,11.25,RightLeg,0.75,0.5
8,10.5,RightFinger,0.75,0.5
8,9.75,RightArm,0.75,0.5
8,9,Head,0.5,0.4
8,8.5,LeftArm,0.5,0.4
8,8.5,RightArm,0.5,0.4
8,8,Head,0.5,0.4
8,7.5,Chest,0.5,0.4
8,7,Head,1,0.75
8,6,Chest,0.5,0.4
8,5.5,LeftLeg,0.5,0.4
8,5.5,RightLeg,0.5,0.4
8,5,LeftFinger,0.5,0.4
8,4.5,LeftArm,0.5,0.4
8,4,Head,0.5,0.4
8,3.5,Chest,0.5,0.4
8,3,LeftLeg,0.5,0.4
8,3,RightLeg,0.5,0.4
8,2.5,LeftFinger,0.5,0.4
