RewardID,TotalPointsRequired,RewardString
0,50,RaidWildcard:5
1,100,RaidWildcard:5
2,500,RaidWildcard:5
3,1000,RaidWildcard:5
4,1500,RaidWildcard:5
5,2000,RaidWildcard:5
6,2500,RaidWildcard:5
7,3000,RaidWildcard:5
8,3500,RaidWildcard:5
9,4000,RaidWildcard:5
10,4500,RaidWildcard:5
11,5000,RaidWildcard:20
12,5500,RaidWildcard:5
13,6000,RaidWildcard:5
14,6500,RaidWildcard:5
15,7000,RaidWildcard:5
16,7500,RaidWildcard:5
17,8000,RaidWildcard:5
18,8500,RaidWildcard:5
19,9000,RaidWildcard:5
20,9500,RaidWildcard:5
21,10000,RaidWildcard:20
22,15000,RaidWildcard:5
23,20000,RaidWildcard:5
24,25000,RaidWildcard:5
25,30000,RaidWildcard:5
26,35000,RaidWildcard:5
27,40000,RaidWildcard:5
28,50000,RaidWildcard:50
29,60000,RaidWildcard:5
30,70000,RaidWildcard:5
31,80000,RaidWildcard:5
32,90000,RaidWildcard:5
33,100000,RaidWildcard:5
34,110000,RaidWildcard:5
35,120000,RaidWildcard:5
36,130000,RaidWildcard:5
37,140000,RaidWildcard:5
38,150000,RaidWildcard:5
39,160000,RaidWildcard:5
40,170000,RaidWildcard:5
41,180000,RaidWildcard:5
42,190000,RaidWildcard:5
43,200000,RaidWildcard:50
44,210000,RaidWildcard:5
45,220000,RaidWildcard:5
46,230000,RaidWildcard:5
47,240000,RaidWildcard:5
48,250000,RaidWildcard:50
49,260000,RaidWildcard:5
50,270000,RaidWildcard:5
51,280000,RaidWildcard:5
52,290000,RaidWildcard:5
53,300000,RaidWildcard:50
54,310000,RaidWildcard:5
55,320000,RaidWildcard:5
56,330000,RaidWildcard:5
57,340000,RaidWildcard:5
58,350000,RaidWildcard:5
59,360000,RaidWildcard:5
60,370000,RaidWildcard:5
61,380000,RaidWildcard:5
62,390000,RaidWildcard:5
63,400000,RaidWildcard:100
64,410000,RaidWildcard:5
65,420000,RaidWildcard:5
66,430000,RaidWildcard:5
67,440000,RaidWildcard:5
68,450000,RaidWildcard:5
69,460000,RaidWildcard:5
70,470000,RaidWildcard:5
71,480000,RaidWildcard:5
72,490000,RaidWildcard:5
73,500000,RaidWildcard:100
74,510000,RaidWildcard:5
75,520000,RaidWildcard:5
76,530000,RaidWildcard:5
77,540000,RaidWildcard:5
78,550000,RaidWildcard:200
