RewardID,TotalPointsRequired,RewardString,StringBuilder,AllCurrencies
0,6,"Diamonds:50,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:50,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
1,12,"Diamonds:25,SkillPoint:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,SkillPoint:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
2,18,"Diamonds:25,RaidWildcard:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,RaidWildcard:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
3,24,"Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
4,30,"Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
5,36,"Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
6,42,"Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
7,48,"Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
8,54,"Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
9,60,"Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
