TrinketID,MinimumBoardNumber,SizeX,SizeY,ProbabilityWeight
0,5,1,1,1
1,10,1,1,1
2,15,1,1,1
3,20,1,1,1
4,25,1,1,1
5,30,1,1,1
6,35,1,1,1
7,0,1,2,3
8,0,1,2,3
9,0,1,2,3
10,0,1,2,3
11,0,2,2,3
12,0,2,2,3
13,0,2,2,3
14,0,2,2,3
15,0,1,3,3
16,0,1,3,3
17,0,2,3,3
18,0,2,3,3
19,0,2,3,3
20,0,2,3,3
21,0,3,3,3
22,0,3,3,3
23,0,3,3,3
24,0,1,4,3
25,20,1,4,3
26,20,2,4,3
27,20,2,4,3
28,20,3,4,1
29,20,3,4,1
30,20,3,4,1
31,30,4,4,1
32,40,4,4,1
33,10,1,5,3
34,20,2,5,1
35,20,3,5,1
36,20,3,5,1
37,20,2,6,1
38,30,2,6,1
39,35,2,6,1
40,40,2,6,1
41,45,3,6,1
42,50,5,6,1
