QuestID,Tier,Type,Requirement,Reward,SpawnWeight,ClientTracked
1,1,CollectDailyRewardXTimes,"1,2,3,4,5","1000,2000,3000,4000,5000",50,FALSE
2,2,KillXTitans,"25,50,100,250,500,1000,2000,5000,10000,25000","100,100,100,100,100,100,200,600,1000,3000",50,TRUE
3,3,PrestigeXTimes,"2,5,7,10,15,20,30,40,50,60","800,1200,1200,1200,2000,2000,3000,3000,3000,3000",50,FALSE
4,4,BeInAClan,1,1000,50,FALSE
5,5,TapXTimes,"50,100,200,300,400,500,600,700,800,1000","250,250,500,500,500,500,500,500,500,1000",50,TRUE
6,6,KillXBosses,"10,20,40,100,200,400,800,2000,4000,10000","250,250,250,250,250,250,250,600,1000,3000",50,TRUE
7,7,Manny,"5,10,20,50,100,200,400,1000,2000,5000","250,250,250,250,250,250,250,600,1000,3000",50,TRUE
8,8,KillXSprout,"5,10,20,50,100,200,300,400,500,1000","250,250,250,250,250,250,250,600,1000,3000",50,TRUE
9,9,TapXFairies,"2,5,10,15,25,50,75,100,250,500","100,150,250,250,500,1250,1250,1250,2500,5000",50,TRUE
10,10,CollectXDiamondFairies,"1,2,3,4,5,10,15,20,25","200,200,200,200,200,1000,1000,1000,1000",50,FALSE
11,11,CollectXEquipment,"5,10,15,20,25,30,50,70,90,100","250,250,250,250,250,250,1000,1000,1000,1000",50,FALSE
12,12,CollectXEggs,"25,30,35,40,45,50,55,60,65,70","250,250,250,250,250,250,250,250,250,250",50,FALSE
13,13,UseXCraftingShards,"5,10,20,40,60,80,100","1250,1250,2500,5000,5000,5000,5000",50,FALSE
14,14,SummonXTitanSouls,"250,500,1000,2000,3000,4000,5000,6000,7000,8000","500,500,1000,2000,2000,2000,2000,2000,2000,2000",50,FALSE
15,15,PerformXSoloRaidAttacks,"1,3,5,7,10","400,800,800,800,1200",50,FALSE
