Level,Rarity0,Rarity1,Rarity2,Rarity3,Rarity4,Rarity0%,Rarity1%,Rarity2%,Rarity3%,Rarity4%
1,750000,170000,0,0,0,0.81521739,0.18478261,0.00000000,0.00000000,0.00000000
2,650000,250000,100000,0,0,0.65000000,0.25000000,0.10000000,0.00000000,0.00000000
3,599900,270000,110000,20000,100,0.59990000,0.27000000,0.11000000,0.02000000,0.00010000
4,559892,290000,120000,30000,108,0.55989200,0.29000000,0.12000000,0.03000000,0.00010800
5,519884,310000,130000,40000,116,0.51988400,0.31000000,0.13000000,0.04000000,0.00011600
6,486876,330000,140000,43000,124,0.48687600,0.33000000,0.14000000,0.04300000,0.00012400
7,453868,350000,150000,46000,132,0.45386800,0.35000000,0.15000000,0.04600000,0.00013200
8,421860,370000,160000,48000,140,0.42186000,0.37000000,0.16000000,0.04800000,0.00014000
9,389852,390000,170000,50000,148,0.38985200,0.39000000,0.17000000,0.05000000,0.00014800
10,357844,410000,180000,52000,156,0.35784400,0.41000000,0.18000000,0.05200000,0.00015600
11,325836,430000,190000,54000,164,0.32583600,0.43000000,0.19000000,0.05400000,0.00016400
12,323828,430000,190000,56000,172,0.32382800,0.43000000,0.19000000,0.05600000,0.00017200
