RewardID,TotalCollectionSizeRequired,RewardString
0,1,Diamonds:1
1,200,Diamonds:2
2,300,Diamonds:3
3,400,Diamonds:4
4,500,Diamonds:5
5,600,Diamonds:6
6,700,Diamonds:7
7,800,Diamonds:8
8,900,Diamonds:9
9,1000,Diamonds:10
10,50000,Diamonds:11
11,100000,Diamonds:12
12,150000,Diamonds:13
13,200000,Diamonds:14
14,250000,Diamonds:15
15,300000,Diamonds:16
16,350000,Diamonds:17
17,400000,Diamonds:18
18,450000,Diamonds:19
19,500000,Diamonds:20
20,550000,Diamonds:21
21,600000,Diamonds:22
22,650000,Diamonds:23
23,700000,Diamonds:24
24,750000,Diamonds:25
25,800000,Diamonds:26
26,850000,Diamonds:27
27,900000,Diamonds:28
28,950000,Diamonds:29
29,1000000,Diamonds:30
30,1050000,Diamonds:31
31,1100000,Diamonds:32
32,1150000,Diamonds:33
33,1200000,Diamonds:34
34,1250000,Diamonds:35
35,1300000,Diamonds:36
36,1350000,Diamonds:37
37,1400000,Diamonds:38
38,1450000,Diamonds:39
