BeastID,BaitLevelToCatch,BeastTypeCurrencyMultiplier,RewardStringForRarity4
0,0,1,Avatar:AvatarBeast0
1,1,2,Avatar:AvatarBeast1
2,1,2,Avatar:AvatarBeast2
3,2,3,Avatar:AvatarBeast3
4,2,3,Avatar:AvatarBeast4
5,0,1,Avatar:AvatarBeast5
6,1,2,Avatar:AvatarBeast6
7,1,2,Avatar:AvatarBeast7
8,2,3,Avatar:AvatarBeast8
9,3,4,Avatar:AvatarBeast9
10,0,1,Avatar:AvatarBeast10
11,1,2,Avatar:AvatarBeast11
12,2,3,Avatar:AvatarBeast12
13,2,3,Avatar:AvatarBeast13
14,3,4,Avatar:AvatarBeast14
15,1,2,Avatar:AvatarBeast15
16,2,3,Avatar:AvatarBeast16
17,3,4,Avatar:AvatarBeast17
18,4,5,Avatar:AvatarBeast18
19,5,6,Avatar:AvatarBeast19
20,2,3,Avatar:AvatarBeast20
21,3,4,Avatar:AvatarBeast21
22,4,5,Avatar:AvatarBeast22
23,5,6,Avatar:AvatarBeast23
24,6,7,Avatar:AvatarBeast24
25,3,4,Avatar:AvatarBeast25
26,4,5,Avatar:AvatarBeast26
27,5,6,Avatar:AvatarBeast27
28,6,7,Avatar:AvatarBeast28
29,7,8,Avatar:AvatarBeast29
30,4,5,Avatar:AvatarBeast30
31,5,6,Avatar:AvatarBeast31
32,6,7,Avatar:AvatarBeast32
33,7,8,Avatar:AvatarBeast33
34,8,9,Avatar:AvatarBeast34
35,5,6,Avatar:AvatarBeast35
36,6,7,Avatar:AvatarBeast36
37,7,8,Avatar:AvatarBeast37
38,8,9,Avatar:AvatarBeast38
39,9,10,Avatar:AvatarBeast39
40,6,7,Avatar:AvatarBeast40
41,7,8,Avatar:AvatarBeast41
42,8,9,Avatar:AvatarBeast42
43,9,10,Avatar:AvatarBeast43
44,9,10,Avatar:AvatarBeast44
45,9,9,Avatar:AvatarBeast45
46,9,10,Avatar:AvatarBeast46
47,9,10,Avatar:AvatarBeast47
48,9,10,Avatar:AvatarBeast48
49,9,10,Avatar:AvatarBeast49
