Level,Rarity0,Rarity1,Rarity2,Rarity3,Rarity4,Rarity0%,Rarity1%,Rarity2%,Rarity3%,Rarity4%
1,750000,250000,0,0,0,0.75000000,0.25000000,0.00000000,0.00000000,0.00000000
2,650000,250000,100000,0,0,0.65000000,0.25000000,0.10000000,0.00000000,0.00000000
3,599900,270000,110000,20000,100,0.59990000,0.27000000,0.11000000,0.02000000,0.00010000
4,559895,290000,120000,30000,105,0.55989500,0.29000000,0.12000000,0.03000000,0.00010500
5,519890,310000,130000,40000,110,0.51989000,0.31000000,0.13000000,0.04000000,0.00011000
6,486886,330000,140000,43000,114,0.48688600,0.33000000,0.14000000,0.04300000,0.00011400
7,453882,350000,150000,46000,118,0.45388200,0.35000000,0.15000000,0.04600000,0.00011800
8,422878,370000,160000,47000,122,0.42287800,0.37000000,0.16000000,0.04700000,0.00012200
9,391874,390000,170000,48000,126,0.39187400,0.39000000,0.17000000,0.04800000,0.00012600
10,360870,410000,180000,49000,130,0.36087000,0.41000000,0.18000000,0.04900000,0.00013000
11,329866,430000,190000,50000,134,0.32986600,0.43000000,0.19000000,0.05000000,0.00013400
12,329865,430000,190000,50000,135,0.32986500,0.43000000,0.19000000,0.05000000,0.00013500
