RewardID,TotalPointsRequired,RewardString
0,5,Diamonds:50
1,25,SkillPoint:1
2,50,RaidWildcard:10
3,100,PetsLvl5:1
4,200,EquipmentShards:5
5,300,Diamonds:200
6,400,SkillPoint:5
7,500,RaidWildcard:20
8,1000,PetsLvl5:1
9,2000,EquipmentShards:5
10,3000,Diamonds:200
11,4000,SkillPoint:5
12,5000,RaidWildcard:20
13,7500,PetsLvl5:1
14,10000,EquipmentShards:5
15,12500,Diamonds:200
16,15000,SkillPoint:5
17,17500,RaidWildcard:20
18,20000,PetsLvl5:1
19,25000,EquipmentShards:5
20,30000,Diamonds:200
21,35000,SkillPoint:5
22,40000,RaidWildcard:20
23,45000,PetsLvl5:1
24,50000,EquipmentShards:5
25,60000,Diamonds:200
26,70000,SkillPoint:5
27,80000,RaidWildcard:20
28,90000,PetsLvl5:1
29,100000,EquipmentShards:5
30,125000,Diamonds:200
31,150000,SkillPoint:5
32,175000,RaidWildcard:20
33,200000,PetsLvl5:1
34,225000,EquipmentShards:5
35,250000,Diamonds:200
36,275000,SkillPoint:5
37,300000,RaidWildcard:20
38,350000,PetsLvl5:1
39,400000,EquipmentShards:5
40,500000,Diamonds:2500
