PetPowerID,Note,BonusType,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,NOTE
PetPowerHeavenlyStrike,Increases the primary effect of Heavenly Strike.,BurstDamageSkillAmount,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,300,600,900,1200,1500,1800,2100,2400,2700,3000," ""A"" - BonusAmount"
PetPowerDeadlyStrike,Increases the strength of Deadly Strike.,CritBoostSkillAmount,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,300,600,900,1200,1500,1800,2100,2400,2700,3000," ""D"" - Duration in Seconds"
PetPowerHandOfMidas,Increases the primary Hand of Midas effect.,HandOfMidasSkillAmount,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerFireStrike,Increases the strength of Fire Sword.,TapBoostSkillAmount,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerWarCry,Increases the primary effect of War Cry.,HelperBoostSkillAmount,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerShadowClone,Increases the damage of shadow clone.,ShadowCloneSkillAmount,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerAllDamage,Increases damage from all sources.,AllDamage,3.00,6.00,8.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerAllHelperDamage,Increases damage from all heroes.,AllHelperDamage,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerMeleeHelperDamage,Increases damage from melee heroes.,MeleeHelperDamage,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,55.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerRangedHelperDamage,Increases damage from ranged heroes.,RangedHelperDamage,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,55.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerSpellHelperDamage,Increases damage from spell heroes.,SpellHelperDamage,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,55.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerCritDamage,Increases all crit damage done.,CritDamage,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,55.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerTapDamage,Increases the strength of Tap Damage.,TapDamage,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,55.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerAllGold,Increases gold earned from all sources.,GoldAll,3.00,6.00,8.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerFairyGold,Increases gold dropped by fairies.,FairyGold,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,55.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerChestersonGold,Increases Chesterson gold.,ChestAmount,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,55.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerGoldBoss,Increases gold earned from bosses.,GoldBoss,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,55.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerGoldMultiMonster,Increases gold earned from multi Titans.,MultiMonstersGold,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,55.00,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerSnapChance,Increases the chance for Snap to spawn.,MegaBombSpawnChance,0.008,0.011,0.015,0.018,0.023,0.024,0.026,0.027,0.029,0.030,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerPortarChance,Increases the chance for Portar to spawn.,StageSkipMonsterSpawnChance,0.008,0.011,0.015,0.018,0.023,0.024,0.026,0.027,0.029,0.030,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerMultiSpawnChance,Increases the chance for a multi-Titan spawn.,MultiMonsters,0.015,0.030,0.045,0.060,0.075,0.090,0.105,0.120,0.135,0.150,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerManniManaChance,Increases the chance for Manni Mana to spawn.,ManaMonsterSpawnChance,0.015,0.030,0.045,0.060,0.075,0.090,0.105,0.120,0.135,0.150,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerChestersonChance,Increases the chance for a Chesterson to spawn.,ChestChance,0.015,0.030,0.045,0.060,0.075,0.090,0.105,0.120,0.135,0.150,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerIntimidatingPresence,Decreases the amount of non-boss Titans per stage.,MonsterCountPerStage,1,2,3,4,5,6,7,7,8,8,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerAllSplash,Increases the maximum kill count by all splash attacks.,StageSkip,1,2,3,4,5,6,7,7,8,8,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerCompanionAttackRate,"Increases the attack rate of companions (pet, CS, SC).",CompanionAttackRate,1.027,1.032,1.036,1.041,1.045,1.050,1.054,1.059,1.064,1.068,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerTitanSpawnDelay,Decreases the delay time for active Titan spawns.,MonsterActiveSpawnDuration,0.02,0.03,0.05,0.06,0.08,0.09,0.11,0.12,0.14,0.15,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerCritChance,Increases the chance to score a critical hit.,CritChance,0.075,0.083,0.090,0.098,0.105,0.113,0.120,0.128,0.135,0.150,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerManaRefund,Refunds a percent of mana spent on active skills.,ManaRefundPercent,0.02,0.03,0.05,0.06,0.08,0.09,0.11,0.12,0.14,0.15,300,600,900,1200,1500,1800,2100,2400,2700,3000,
PetPowerPortarPlus,Increases the stages skipped by Portar.,StageSkipMonsterAmountMult,1.030,1.036,1.042,1.048,1.054,1.061,1.067,1.073,1.079,1.085,300,600,900,1200,1500,1800,2100,2400,2700,3000,
