PetQuestDifficulty,PetName,Localization,Note,QuestDuration,NumberOfPetsRequired,MinTeamRequirement,MaxTeamRequirement,RewardXP,Reward_ID,SpecificPetsRequired
0,Nova,PET_QUEST_ID_0,Common,60,1,1,3,14,0,1
1,Toto,PET_QUEST_ID_1,Common +,60,1,3,6,15,1,1
2,Cerberus,PET_QUEST_ID_2,Uncommon,75,2,6,18,15,2,1
3,Mousy,PET_QUEST_ID_3,Uncommon +,75,2,18,103,16,3,1
4,Harker,PET_QUEST_ID_4,Rare,90,2,103,283,17,4,1
5,Bubbles,PET_QUEST_ID_5,Rare +,90,2,283,464,18,5,1
6,Demos,PET_QUEST_ID_6,Legendary,105,3,464,750,18,6,1
7,Tempest,PET_QUEST_ID_7,Legendary +,105,3,750,1440,19,7,1
8,Basky,PET_QUEST_ID_8,Mythic,120,3,1440,2066,20,8,1
9,Scraps,PET_QUEST_ID_9,Mythic +,120,3,2066,2450,21,9,1
