Level,AmountNew,TotalNew,AmountNew1,TotalNew2,Amount,Total
10,2,2.00E+00,2,2,2,3.01E-01
30,2,4.00E+00,2,4,2,6.02E-01
50,2,8.00E+00,2,8,2,9.03E-01
70,2,1.60E+01,2,16,2,1.20E+00
80,2,3.20E+01,,,,1.51E+00
90,2,6.40E+01,2,32,2,1.81E+00
100,2,1.28E+02,,,,2.11E+00
110,3,3.84E+02,3,96,2,2.58E+00
130,2,7.68E+02,2,192,2,2.89E+00
140,2,1.54E+03,,,,3.19E+00
150,3,4.61E+03,3,576,2,3.66E+00
170,2,9.22E+03,2,1152,2,3.96E+00
180,3,2.76E+04,,,,4.44E+00
190,3,8.29E+04,3,3.46E+03,2,4.92E+00
210,2,1.66E+05,4,1.38E+04,3,5.22E+00
230,3,4.98E+05,3,4.15E+04,3,5.70E+00
250,2,9.95E+05,2,8.29E+04,2,6.00E+00
270,2,1.99E+06,3,2.49E+05,2,6.30E+00
290,2,3.98E+06,2,4.98E+05,2,6.60E+00
310,5,1.99E+07,3,1.49E+06,3,7.30E+00
330,5,9.95E+07,3,4.48E+06,2,8.00E+00
350,5,4.98E+08,3,1.34E+07,2,8.70E+00
370,5,2.49E+09,3,4.03E+07,2,9.40E+00
400,20,4.98E+10,5,2.02E+08,2,1.07E+01
420,5,2.49E+11,2,4.03E+08,3,1.14E+01
440,3,7.46E+11,3,1.21E+09,3,1.19E+01
460,2,1.49E+12,2,2.42E+09,3,1.22E+01
480,10,1.49E+13,3,7.26E+09,2,1.32E+01
500,10,1.49E+14,5,3.63E+10,2,1.42E+01
520,2,2.99E+14,2,7.26E+10,2,1.45E+01
540,1.5,4.48E+14,3,2.18E+11,2,1.47E+01
560,2,8.96E+14,2,4.35E+11,2,1.50E+01
580,3,2.69E+15,3,1.31E+12,2,1.54E+01
600,5,1.34E+16,5,6.53E+12,2,1.61E+01
620,4,5.37E+16,2,1.31E+13,2,1.67E+01
640,4,2.15E+17,3,3.92E+13,2,1.73E+01
660,4,8.60E+17,2,7.84E+13,2,1.79E+01
680,4,3.44E+18,3,2.35E+14,2,1.85E+01
700,2,6.88E+18,4,9.40E+14,2,1.88E+01
720,2,1.38E+19,2,1.88E+15,2,1.91E+01
