TitleID,Note,TitleString,TitleUnlockType,UnlockValue,TextColor,ShowUnlockDescriptionWhenUnowned
0,Default,PLAYER_TITLE_TEXT_DEFAULT,None,0,#272738,FALSE
1,"""Titan Slayer""",PLAYER_TITLE_RANK_ID_4,HolidayEventTemporary,1,#C1BFFF,FALSE
2,"""Master""",PLAYER_TITLE_RANK_ID_3,HolidayEventTemporary,1,#F1E1AA,FALSE
3,"""Champion""",PLAYER_TITLE_RANK_ID_2,HolidayEventTemporary,1,#BCC6D4,FALSE
4,"""Hero""",PLAYER_TITLE_RANK_ID_1,HolidayEventTemporary,1,#FFD467,FALSE
5,<3 Custom Title,PLAYER_TITLE_CUSTOM_5,Custom,0,#11F467,FALSE
6,GameHive Developer,PLAYER_TITLE_CUSTOM_6,Custom,0,#FF9326,FALSE
7,Community Tool Developer,PLAYER_TITLE_CUSTOM_7,Custom,0,#11F467,FALSE
8,Community Mod,PLAYER_TITLE_CUSTOM_8,Custom,0,#11F467,FALSE
9,Beta Tester,PLAYER_TITLE_CUSTOM_9,Custom,0,#11F467,FALSE
100,Top Orca,PLAYER_TITLE_CUSTOM_100,Custom,0,#e33b19,FALSE
101,Beany,PLAYER_TITLE_CUSTOM_101,Custom,0,#3D0C02,FALSE
500,MasterTierSeason1Top1,PLAYER_TITLE_MasterTierSeason1Top1,MasterTierReward1,1,#347975,FALSE
501,MasterTierSeason1Top10,PLAYER_TITLE_MasterTierSeason1Top10,MasterTierReward10,1,#908FBE,FALSE
502,MasterTierSeason1Top25,PLAYER_TITLE_MasterTierSeason1Top25,MasterTierReward25,1,#ADA38B,FALSE
503,MasterTierSeason1Top50,PLAYER_TITLE_MasterTierSeason1Top50,MasterTierReward50,1,#8D93A4,FALSE
504,MasterTierSeason1Top100,PLAYER_TITLE_MasterTierSeason1Top100,MasterTierReward100,1,#E1BE65,FALSE
505,MasterTierSeason2Top1,PLAYER_TITLE_MasterTierSeason2Top1,MasterTierReward1,1,#347975,FALSE
506,MasterTierSeason2Top10,PLAYER_TITLE_MasterTierSeason2Top10,MasterTierReward10,1,#908FBE,FALSE
507,MasterTierSeason2Top25,PLAYER_TITLE_MasterTierSeason2Top25,MasterTierReward25,1,#ADA38B,FALSE
508,MasterTierSeason2Top50,PLAYER_TITLE_MasterTierSeason2Top50,MasterTierReward50,1,#8D93A4,FALSE
509,MasterTierSeason2Top100,PLAYER_TITLE_MasterTierSeason2Top100,MasterTierReward100,1,#E1BE65,FALSE
510,MasterTierSeason3Top1,PLAYER_TITLE_MasterTierSeason3Top1,MasterTierReward1,1,#347975,FALSE
511,MasterTierSeason3Top10,PLAYER_TITLE_MasterTierSeason3Top10,MasterTierReward10,1,#908FBE,FALSE
512,MasterTierSeason3Top25,PLAYER_TITLE_MasterTierSeason3Top25,MasterTierReward25,1,#ADA38B,FALSE
513,MasterTierSeason3Top50,PLAYER_TITLE_MasterTierSeason3Top50,MasterTierReward50,1,#8D93A4,FALSE
514,MasterTierSeason3Top100,PLAYER_TITLE_MasterTierSeason3Top100,MasterTierReward100,1,#E1BE65,FALSE
