ProfileBackgroundID,ProfileBackgroundType
Forest,Player
Golden,Player
Victorian,Player
Temple,Player
CloudTower,Player
Olympus,Player
OneHundredSix,Player
OneHundredThirtyFive,Player
OneHundredFourtyFive,Raid
OneHundredFiftyFive,Player
OneHundredSixtyFive,Raid
OneHundredSeventyFive,Player
MagicalForest,Player
EgyptianTemple,Player
BeachVacation,Player
ElvenCity,Player
Bones,Raid
Crypt,Raid
Volcano,Raid
Dungeon,Raid
Cathedral,Raid
SnowCastle,Raid
Valentines2020,Raid
NinetySix,Raid
Summer2020,Raid
Halloween2020,Raid
Anniversary2020,Raid
Christmas2020,Raid
Valentines2021,Raid
FrozenRuins,Raid
Tavern2021,Raid
Rockstar2021,Raid
ThemePark2021,Raid
Halloween2021,Raid
Anniversary2021,Raid
Christmas2021,Raid
Valentines2022,Raid
Tavern2022,Raid
Event14_2022,Raid
Beach2022,Raid
ThemePark2022,Raid
Halloween2022,Raid
Anniversary2022,Raid
Steampunk,Raid
Cyberpunk,Raid
Abyss,Raid
RoyalLibrary,Raid
