EnemyID,Name,Color,EnchantColor,BaseHPMult,BodyHeadMult,BodyTorsoMult,BodyArmsMult,BodyLegsMult,ArmorHeadMult,ArmorTorsoMult,ArmorArmsMult,ArmorLegsMult,IsArmorHeadPriorityEnchant,IsArmorChestUpperPriorityEnchant,IsArmorArmUpperLeftPriorityEnchant,IsArmorArmUpperRightPriorityEnchant,IsArmorHandLeftPriorityEnchant,IsArmorHandRightPriorityEnchant,IsArmorLegUpperLeftPriorityEnchant,IsArmorLegUpperRightPriorityEnchant,Total in Armour,Total in Body,BodyPhysicalMult,BodyElementalMult,BodyArcaneMult,ArmorPhysicalMult,ArmorElementalMult,ArmorArcaneMult,HPWeightBody,HPWeightArmor,HPWeightHead,HPWeightChest,HPWeightArm,HPWeightLeg,BonusTypeA,BonusAmountA,BonusTypeB,BonusAmountB,BonusTypeC,BonusAmountC,BonusTypeD,BonusAmountD,BonusTypeE,BonusAmountE,BonusTypeF,BonusAmountF,BonusTypeG,BonusAmountG,BonusTypeH,BonusAmountH
Enemy1,Lojak,#FED779,#FFB600,1.20,0.30,0.48,0.24,0.25,0.12,0.21,0.20,0.17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.70,1.27,1.00,1.00,1.00,1.00,1.00,1.00,2,1,2,3,1,1,ArmorArmsHPMult,0.40,AllLimbsHPMult,0.50,AllHeadHPMult,0.50,AllLimbsHPMult,0.50,AllHeadHPMult,0.50,ArmorArmsHPMult,0.40,AllLimbsHPMult,0.50,AllHeadHPMult,0.50
Enemy2,Takedar,#83EFFF,#FF8C00,1.00,0.36,0.30,0.25,0.15,0.30,0.25,0.20,0.15,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.90,1.06,1.00,1.00,1.00,1.00,1.00,1.00,1,2,1,2,3,4,AllLimbsHPMult,0.50,AllTorsoHPMult,0.50,AllHeadHPMult,0.50,AllTorsoHPMult,0.50,AllHeadHPMult,0.50,AllLimbsHPMult,0.50,AllTorsoHPMult,0.50,AllHeadHPMult,0.50
Enemy3,Jukk,#DAF653,#FF0000,1.00,0.35,0.35,0.35,0.35,0.25,0.25,0.25,0.25,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.00,1.40,1.00,1.00,1.00,1.00,1.00,1.00,3,1,4,3,2,1,ArmorArmsHPMult,0.50,AllLimbsHPMult,-0.50,AllHeadHPMult,0.50,AllLimbsHPMult,-0.50,AllHeadHPMult,0.50,ArmorArmsHPMult,0.50,AllLimbsHPMult,-0.50,AllHeadHPMult,0.50
Enemy4,Sterl,#DCA1FB,#FF0084,1.00,0.20,0.66,0.20,0.20,0.20,0.25,0.25,0.25,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.95,1.26,1.00,1.00,1.00,1.00,1.00,1.00,1,6,1,8,1,1,ArmorLegsHPMult,0.45,AllTorsoHPMult,-0.30,AllLimbsHPMult,0.50,AllTorsoHPMult,-0.30,AllLimbsHPMult,0.50,ArmorLegsHPMult,0.45,AllTorsoHPMult,-0.30,AllLimbsHPMult,0.50
Enemy5,Mohaca,#6DFFDE,#C8FF00,1.00,0.25,0.25,0.40,0.41,0.25,0.50,0.25,0.25,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.25,1.31,1.00,1.00,1.00,1.00,1.00,1.00,5,3,4,4,1,1,AllArmsHPMult,0.50,AllLegsHPMult,0.50,AllHeadHPMult,0.50,AllLegsHPMult,0.50,AllHeadHPMult,0.50,AllArmsHPMult,0.50,AllLegsHPMult,0.50,AllHeadHPMult,0.50
Enemy6,Terro,#D1E261,#C54DA7,0.75,0.27,0.38,0.22,0.22,0.28,0.49,0.25,0.21,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.23,1.09,1.00,1.00,1.00,1.00,1.00,1.00,9,1,2,6,2,1,ArmorLegsHPMult,0.50,AllTorsoHPMult,0.45,AllArmorHPMult,0.10,AllTorsoHPMult,0.45,AllArmorHPMult,0.10,ArmorLegsHPMult,0.50,AllTorsoHPMult,0.45,AllArmorHPMult,0.10
Enemy7,Klonk,#FCED8F,#00FC5A,0.90,0.37,0.46,0.36,0.09,0.29,0.30,0.55,0.20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.34,1.28,1.00,1.00,1.00,1.00,1.00,1.00,1,1,1,1,1,1,AllArmsHPMult,0.50,AllTorsoHPMult,0.45,AllHeadHPMult,0.50,AllTorsoHPMult,0.45,AllHeadHPMult,0.50,AllArmsHPMult,0.50,AllTorsoHPMult,0.45,AllHeadHPMult,0.50
Enemy8,Priker,#a79BE6,#FF4400,1.00,0.51,0.15,0.51,0.10,0.35,0.15,0.30,0.30,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.10,1.27,1.00,1.00,1.00,1.00,1.00,1.00,1,1,1,1,1,1,AllArmsHPMult,0.50,AllTorsoHPMult,0.70,AllHeadHPMult,-0.20,AllTorsoHPMult,0.70,AllHeadHPMult,-0.20,AllArmsHPMult,0.50,AllTorsoHPMult,0.70,AllHeadHPMult,-0.20
EnemyGlobalBoss,Maruk,#FED779,#FFB600,1.00,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1,1,1,1,1,1,None,0.00,None,0.00,None,0.00,None,0.00,None,0.00,None,0.00,None,0.00,None,0.00
EnemyPractice,Lemmy,#FED779,#FFB600,1.00,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1,1,1,1,1,1,None,0.00,None,0.00,None,0.00,None,0.00,None,0.00,None,0.00,None,0.00,None,0.00
