Part,PartType,IsDestructible,HasHealth,PartRegion,ProtectingPart,ProtectedPart,OppositePart,LinkedParts
None,None,FALSE,FALSE,None,None,None,None,None
SkeletonEyeRight,Skeleton,TRUE,FALSE,None,None,None,SkeletonEyeLeft,BodyHead
SkeletonEyeLeft,Skeleton,TRUE,FALSE,None,None,None,SkeletonEyeRight,BodyHead
SkeletonHead,Skeleton,FALSE,FALSE,Head,BodyHead,None,None,None
BodyHead,Body,TRUE,TRUE,Head,ArmorHead,SkeletonHead,None,"SkeletonEyeRight,SkeletonEyeLeft"
ArmorHead,Armor,TRUE,TRUE,Head,None,BodyHead,None,None
SkeletonChestUpper,Skeleton,FALSE,FALSE,Chest,BodyChestUpper,None,None,SkeletonChestLower
BodyChestUpper,Body,TRUE,TRUE,Chest,ArmorChestUpper,SkeletonChestUpper,None,BodyChestLower
ArmorChestUpper,Armor,TRUE,TRUE,Chest,None,BodyChestUpper,None,ArmorChestLower
SkeletonChestLower,Skeleton,FALSE,FALSE,Chest,BodyChestLower,None,None,SkeletonChestUpper
BodyChestLower,Body,TRUE,FALSE,Chest,ArmorChestLower,SkeletonChestLower,None,BodyChestUpper
ArmorChestLower,Armor,TRUE,FALSE,Chest,None,BodyChestLower,None,ArmorChestUpper
SkeletonArmUpperRight,Skeleton,FALSE,FALSE,Arm,BodyArmUpperRight,None,SkeletonArmUpperLeft,SkeletonArmLowerRight
BodyArmUpperRight,Body,TRUE,TRUE,Arm,ArmorArmUpperRight,SkeletonArmUpperRight,BodyArmUpperLeft,BodyArmLowerRight
ArmorArmUpperRight,Armor,TRUE,TRUE,Arm,None,BodyArmUpperRight,ArmorArmUpperLeft,ArmorArmLowerRight
SkeletonArmLowerRight,Skeleton,FALSE,FALSE,Arm,BodyArmLowerRight,None,SkeletonArmLowerLeft,SkeletonArmUpperRight
BodyArmLowerRight,Body,TRUE,FALSE,Arm,ArmorArmLowerRight,SkeletonArmLowerRight,BodyArmLowerLeft,BodyArmUpperRight
ArmorArmLowerRight,Armor,TRUE,FALSE,Arm,None,BodyArmLowerRight,ArmorArmLowerLeft,ArmorArmUpperRight
SkeletonArmUpperLeft,Skeleton,FALSE,FALSE,Arm,BodyArmUpperLeft,None,SkeletonArmUpperRight,SkeletonArmLowerLeft
BodyArmUpperLeft,Body,TRUE,TRUE,Arm,ArmorArmUpperLeft,SkeletonArmUpperLeft,BodyArmUpperRight,BodyArmLowerLeft
ArmorArmUpperLeft,Armor,TRUE,TRUE,Arm,None,BodyArmUpperLeft,ArmorArmUpperRight,ArmorArmLowerLeft
SkeletonArmLowerLeft,Skeleton,FALSE,FALSE,Arm,BodyArmLowerLeft,None,SkeletonArmLowerRight,SkeletonArmUpperLeft
BodyArmLowerLeft,Body,TRUE,FALSE,Arm,ArmorArmLowerLeft,SkeletonArmLowerLeft,BodyArmLowerRight,BodyArmUpperLeft
ArmorArmLowerLeft,Armor,TRUE,FALSE,Arm,None,BodyArmLowerLeft,ArmorArmLowerRight,ArmorArmUpperLeft
SkeletonLegUpperRight,Skeleton,FALSE,FALSE,Leg,BodyLegUpperRight,None,SkeletonLegUpperLeft,SkeletonLegLowerRight
BodyLegUpperRight,Body,TRUE,TRUE,Leg,ArmorLegUpperRight,SkeletonLegUpperRight,BodyLegUpperLeft,BodyLegLowerRight
ArmorLegUpperRight,Armor,TRUE,TRUE,Leg,None,BodyLegUpperRight,ArmorLegUpperLeft,ArmorLegLowerRight
