PlayerLevel,ExperienceCost,DecksAvailable,SkillsPerDeck,ShopTier,PlayerRaidProgressionBundle
1,0,3,1,1,
2,143,3,1,1,
3,304,3,1,1,
4,479,3,2,2,
5,665,3,2,2,
6,861,4,3,3,
7,1067,4,3,3,
8,1281,4,3,4,
9,1503,4,3,4,
10,1732,4,3,4,RaidProgressionBundle0
11,1968,5,3,5,
12,2211,5,3,5,
13,2460,5,3,6,
14,2715,5,3,6,
15,2976,6,3,6,
16,3243,6,3,6,
17,3515,6,3,6,
18,3793,6,3,6,
19,4076,6,3,6,
20,4364,7,3,6,
21,4657,7,3,6,
22,4954,7,3,6,
23,5256,7,3,6,
24,5563,7,3,6,
25,5874,7,3,6,RaidProgressionBundle1
26,6189,7,3,6,
27,6509,7,3,6,
28,6833,8,3,6,
29,7161,8,3,6,
30,7493,8,3,6,
31,7829,8,3,6,
32,8169,8,3,6,
33,8513,8,3,6,
34,8860,8,3,6,
35,9211,8,3,6,
36,9566,8,3,6,
37,9924,8,3,6,
38,10286,8,3,6,
39,10652,8,3,6,
40,11021,8,3,6,
41,11393,8,3,6,
42,11769,8,3,6,
43,12148,8,3,6,
44,12530,8,3,6,
45,12916,8,3,6,
46,13305,8,3,6,
47,13697,8,3,6,
48,14092,8,3,6,
49,14490,8,3,6,
50,14892,16,3,6,RaidProgressionBundle2
51,15297,16,3,6,
52,15705,16,3,6,
53,16116,16,3,6,
54,16530,16,3,6,
55,16947,16,3,6,
56,17366,16,3,6,
57,17788,16,3,6,
58,18213,16,3,6,
59,18641,16,3,6,
60,19072,16,3,6,
61,19506,16,3,6,
62,19942,16,3,6,
63,20381,16,3,6,
64,20823,16,3,6,
65,21268,16,3,6,
66,21715,16,3,6,
67,22165,16,3,6,
68,22618,16,3,6,
69,23073,16,3,6,
70,23531,16,3,6,
71,23991,16,3,6,
72,24454,16,3,6,
73,24920,16,3,6,
74,25388,16,3,6,
75,25859,16,3,6,
76,26332,16,3,6,
77,26808,16,3,6,
78,27286,16,3,6,
79,27766,16,3,6,
80,28249,16,3,6,
81,28734,16,3,6,
82,29222,16,3,6,
83,29712,16,3,6,
84,30204,16,3,6,
85,30699,16,3,6,
86,31196,16,3,6,
87,31695,16,3,6,
88,32197,16,3,6,
89,32701,16,3,6,
90,33207,16,3,6,
91,33716,16,3,6,
92,34227,16,3,6,
93,34740,16,3,6,
94,35255,16,3,6,
95,35773,16,3,6,
96,36293,16,3,6,
97,36815,16,3,6,
98,37339,16,3,6,
99,37865,16,3,6,
100,38394,24,3,6,RaidProgressionBundle3
101,38925,24,3,6,
102,39458,24,3,6,
103,39993,24,3,6,
104,40530,24,3,6,
105,41069,24,3,6,
106,41610,24,3,6,
107,42154,24,3,6,
108,42700,24,3,6,
109,43248,24,3,6,
110,43798,24,3,6,
111,44350,24,3,6,
112,44904,24,3,6,
113,45460,24,3,6,
114,46018,24,3,6,
115,46578,24,3,6,
116,47140,24,3,6,
117,47704,24,3,6,
118,48270,24,3,6,
119,48838,24,3,6,
120,49408,24,3,6,
121,49980,24,3,6,
122,50554,24,3,6,
123,51130,24,3,6,
124,51708,24,3,6,
125,52288,24,3,6,
126,52870,24,3,6,
127,53454,24,3,6,
128,54039,24,3,6,
129,54626,24,3,6,
130,55215,24,3,6,
131,55806,24,3,6,
132,56399,24,3,6,
133,56994,24,3,6,
134,57591,24,3,6,
135,58190,24,3,6,
136,58791,24,3,6,
137,59393,24,3,6,
138,59997,24,3,6,
139,60603,24,3,6,
140,61211,24,3,6,
141,61821,24,3,6,
142,62433,24,3,6,
143,63046,24,3,6,
144,63661,24,3,6,
145,64278,24,3,6,
146,64897,24,3,6,
147,65518,24,3,6,
148,66140,24,3,6,
149,66764,24,3,6,
150,67390,24,3,6,
151,68018,24,3,6,
152,68647,24,3,6,
153,69278,24,3,6,
154,69911,24,3,6,
155,70546,24,3,6,
156,71182,24,3,6,
157,71820,24,3,6,
158,72460,24,3,6,
159,73101,24,3,6,
160,73744,24,3,6,
161,74389,24,3,6,
162,75036,24,3,6,
163,75684,24,3,6,
164,76334,24,3,6,
165,76986,24,3,6,
166,77639,24,3,6,
167,78294,24,3,6,
168,78951,24,3,6,
169,79609,24,3,6,
170,80269,24,3,6,
171,80931,24,3,6,
172,81594,24,3,6,
173,82259,24,3,6,
174,82926,24,3,6,
175,83594,24,3,6,
176,84264,24,3,6,
177,84935,24,3,6,
178,85608,24,3,6,
179,86283,24,3,6,
180,86959,24,3,6,
181,87637,24,3,6,
182,88317,24,3,6,
183,88998,24,3,6,
184,89681,24,3,6,
185,90365,24,3,6,
186,91051,24,3,6,
187,91739,24,3,6,
188,92428,24,3,6,
189,93119,24,3,6,
190,93811,24,3,6,
191,94505,24,3,6,
192,95200,24,3,6,
193,95897,24,3,6,
194,96595,24,3,6,
195,97295,24,3,6,
196,97997,24,3,6,
197,98700,24,3,6,
198,99405,24,3,6,
199,100111,24,3,6,
200,100819,24,3,6,RaidProgressionBundle4
201,101528,24,3,6,
202,102239,24,3,6,
203,102951,24,3,6,
204,103665,24,3,6,
205,104380,24,3,6,
206,105097,24,3,6,
207,105815,24,3,6,
208,106535,24,3,6,
209,107256,24,3,6,
210,107979,24,3,6,
211,108703,24,3,6,
212,109429,24,3,6,
213,110156,24,3,6,
214,110885,24,3,6,
215,111615,24,3,6,
216,112347,24,3,6,
217,113080,24,3,6,
218,113815,24,3,6,
219,114551,24,3,6,
220,115288,24,3,6,
221,116027,24,3,6,
222,116767,24,3,6,
223,117509,24,3,6,
224,118252,24,3,6,
225,118997,24,3,6,
226,119743,24,3,6,
227,120491,24,3,6,
228,121240,24,3,6,
229,121990,24,3,6,
230,122742,24,3,6,
231,123495,24,3,6,
232,124250,24,3,6,
233,125006,24,3,6,
234,125764,24,3,6,
235,126523,24,3,6,
236,127283,24,3,6,
237,128045,24,3,6,
238,128808,24,3,6,
239,129573,24,3,6,
240,130339,24,3,6,
241,131106,24,3,6,
242,131875,24,3,6,
243,132645,24,3,6,
244,133417,24,3,6,
245,134190,24,3,6,
246,134964,24,3,6,
247,135740,24,3,6,
248,136517,24,3,6,
249,137295,24,3,6,
250,138075,24,3,6,
251,138856,24,3,6,
252,139638,24,3,6,
253,140422,24,3,6,
254,141207,24,3,6,
255,141994,24,3,6,
256,142782,24,3,6,
257,143571,24,3,6,
258,144362,24,3,6,
259,145154,24,3,6,
260,145947,24,3,6,
261,146742,24,3,6,
262,147538,24,3,6,
263,148335,24,3,6,
264,149134,24,3,6,
265,149934,24,3,6,
266,150735,24,3,6,
267,151538,24,3,6,
268,152342,24,3,6,
269,153147,24,3,6,
270,153954,24,3,6,
271,154762,24,3,6,
272,155571,24,3,6,
273,156381,24,3,6,
274,157193,24,3,6,
275,158006,24,3,6,
276,158820,24,3,6,
277,159636,24,3,6,
278,160453,24,3,6,
279,161271,24,3,6,
280,162091,24,3,6,
281,162912,24,3,6,
282,163734,24,3,6,
283,164557,24,3,6,
284,165382,24,3,6,
285,166208,24,3,6,
286,167035,24,3,6,
287,167864,24,3,6,
288,168694,24,3,6,
289,169525,24,3,6,
290,170357,24,3,6,
291,171191,24,3,6,
292,172026,24,3,6,
293,172862,24,3,6,
294,173699,24,3,6,
295,174538,24,3,6,
296,175378,24,3,6,
297,176219,24,3,6,
298,177061,24,3,6,
299,177905,24,3,6,
300,178750,24,3,6,RaidProgressionBundle5
301,179596,24,3,6,
302,180443,24,3,6,
303,181292,24,3,6,
304,182142,24,3,6,
305,182993,24,3,6,
306,183845,24,3,6,
307,184699,24,3,6,
308,185554,24,3,6,
309,186410,24,3,6,
310,187267,24,3,6,
311,188125,24,3,6,
312,188985,24,3,6,
313,189846,24,3,6,
314,190708,24,3,6,
315,191571,24,3,6,
316,192436,24,3,6,
317,193302,24,3,6,
318,194169,24,3,6,
319,195037,24,3,6,
320,195906,24,3,6,
321,196777,24,3,6,
322,197649,24,3,6,
323,198522,24,3,6,
324,199396,24,3,6,
325,200271,24,3,6,
326,201148,24,3,6,
327,202026,24,3,6,
328,202905,24,3,6,
329,203785,24,3,6,
330,204666,24,3,6,
331,205549,24,3,6,
332,206433,24,3,6,
333,207318,24,3,6,
334,208204,24,3,6,
335,209091,24,3,6,
336,209979,24,3,6,
337,210869,24,3,6,
338,211760,24,3,6,
339,212652,24,3,6,
340,213545,24,3,6,
341,214439,24,3,6,
342,215334,24,3,6,
343,216231,24,3,6,
344,217129,24,3,6,
345,218028,24,3,6,
346,218928,24,3,6,
347,219829,24,3,6,
348,220731,24,3,6,
349,221635,24,3,6,
350,222540,24,3,6,
351,223446,24,3,6,
352,224353,24,3,6,
353,225261,24,3,6,
354,226170,24,3,6,
355,227081,24,3,6,
356,227993,24,3,6,
357,228906,24,3,6,
358,229820,24,3,6,
359,230735,24,3,6,
360,231651,24,3,6,
361,232568,24,3,6,
362,233486,24,3,6,
363,234406,24,3,6,
364,235327,24,3,6,
365,236249,24,3,6,
366,237172,24,3,6,
367,238096,24,3,6,
368,239021,24,3,6,
369,239947,24,3,6,
370,240875,24,3,6,
371,241804,24,3,6,
372,242734,24,3,6,
373,243665,24,3,6,
374,244597,24,3,6,
375,245530,24,3,6,
376,246464,24,3,6,
377,247399,24,3,6,
378,248335,24,3,6,
379,249273,24,3,6,
380,250212,24,3,6,
381,251152,24,3,6,
382,252093,24,3,6,
383,253035,24,3,6,
384,253978,24,3,6,
385,254922,24,3,6,
386,255867,24,3,6,
387,256813,24,3,6,
388,257760,24,3,6,
389,258709,24,3,6,
390,259659,24,3,6,
391,260610,24,3,6,
392,261562,24,3,6,
393,262515,24,3,6,
394,263469,24,3,6,
395,264424,24,3,6,
396,265380,24,3,6,
397,266337,24,3,6,
398,267295,24,3,6,
399,268254,24,3,6,
400,269214,24,3,6,RaidProgressionBundle6
401,270176,24,3,6,
402,271139,24,3,6,
403,272103,24,3,6,
404,273068,24,3,6,
405,274034,24,3,6,
406,275001,24,3,6,
407,275969,24,3,6,
408,276938,24,3,6,
409,277908,24,3,6,
410,278879,24,3,6,
411,279851,24,3,6,
412,280824,24,3,6,
413,281798,24,3,6,
414,282773,24,3,6,
415,283750,24,3,6,
416,284728,24,3,6,
417,285707,24,3,6,
418,286687,24,3,6,
419,287668,24,3,6,
420,288650,24,3,6,
421,289633,24,3,6,
422,290617,24,3,6,
423,291602,24,3,6,
424,292588,24,3,6,
425,293575,24,3,6,
426,294563,24,3,6,
427,295552,24,3,6,
428,296542,24,3,6,
429,297533,24,3,6,
430,298525,24,3,6,
431,299518,24,3,6,
432,300512,24,3,6,
433,301507,24,3,6,
434,302503,24,3,6,
435,303500,24,3,6,
436,304498,24,3,6,
437,305497,24,3,6,
438,306498,24,3,6,
439,307500,24,3,6,
440,308503,24,3,6,
441,309507,24,3,6,
442,310512,24,3,6,
443,311518,24,3,6,
444,312525,24,3,6,
