CardA,CardB,CardC,ExcludeCards,DeckID,MinWorld,MaxWorld,MinFloor,MaxFloor,Notes
MoonBeam,None,None,None,"MoonBeam,None,None",1,1,1,1,Starter
BurningAttack,None,None,None,"BurningAttack,None,None",1,1,1,1,Starter
PoisonAttack,None,None,None,"PoisonAttack,None,None",1,1,1,1,Starter
RandomAffliction,None,None,"RuneAttack,SandsOfTime","RandomAffliction,None,None",1,1,2,6,Basic
RandomAffliction,None,None,"RuneAttack,SandsOfTime","RandomAffliction,None,None",1,1,2,6,Basic
RandomBurst,None,None,"Purify,Fragmentize,FlakShot,WhipOfLightning,CelestialStatic,MirrorForce,Weaken","RandomBurst,None,None",1,1,2,6,Basic
RandomBurst,None,None,"Purify,Fragmentize,FlakShot,WhipOfLightning,CelestialStatic,MirrorForce,Weaken","RandomBurst,None,None",1,1,2,6,Basic
RandomAffliction,MentalFocus,None,"RuneAttack,SandsOfTime","RandomAffliction,MentalFocus,None",1,1,7,999,Basic
RandomAffliction,LimbSupport,None,"RuneAttack,SandsOfTime","RandomAffliction,LimbSupport,None",1,1,7,999,Basic
RandomBurst,BurstBoost,None,"Purify,Fragmentize,FlakShot,WhipOfLightning,CelestialStatic,MirrorForce,Weaken","RandomBurst,BurstBoost,None",1,1,7,999,Basic
RandomBurst,ImpactAttack,None,"Purify,Fragmentize,FlakShot,WhipOfLightning,CelestialStatic,MirrorForce,Weaken","RandomBurst,ImpactAttack,None",1,1,7,999,Basic
WhipOfLightning,Swarm,None,None,"WhipOfLightning,Swarm,None",2,3,1,999,Easy - No Armor
PoisonAttack,Purify,None,None,"PoisonAttack,Purify,None",2,3,1,999,Easy - No Armor
MoonBeam,InnerTruth,None,None,"MoonBeam,InnerTruth,None",2,3,1,999,Easy - No Armor
ExecutionersAxe,SkullBash,None,None,"ExecutionersAxe,SkullBash,None",2,3,1,999,Easy - No Armor
LimbBurst,LimbSupport,None,None,"LimbBurst,LimbSupport,None",2,3,1,999,Easy - No Armor
ImpactAttack,Swarm,None,None,"ImpactAttack,Swarm,None",2,3,1,999,Easy - No Armor
Haymaker,FinisherAttack,None,None,"Haymaker,FinisherAttack,None",2,3,1,999,Easy - No Armor
