WorldID,LevelID,AreaID,EnemyIDs,AttemptTicketCost,MaxDecks,Reward,AvatarReward,NewPlayerReward,MaxAttacks,HasArmor,TitanCount,AreaBonuses,EnemyBonuses,EnchantedArmour,BattleScarEffect,BucketsOfDamage,BaseHP,TotalHP,Equiv. HP,Custom Mod
1,1,Area3,Enemy5,1,3,RaidCard:4,,,3,FALSE,1,0,0,0,1,0,6.70E+04,6.70E+04,6.70E+04,
1,2,Area4,Enemy2,1,3,PetsLvl1:1,,,3,FALSE,1,0,0,0,1,0,1.46E+05,1.46E+05,1.46E+05,
1,3,Area1,Enemy3,1,3,RaidWildcard:2,,,3,FALSE,1,0,0,0,1,0,1.85E+05,1.85E+05,1.85E+05,
1,4,Area2,Enemy5,1,3,Equipment:1,,,3,FALSE,1,0,0,0,1,0,2.25E+05,2.25E+05,2.25E+05,
1,5,Area3,Enemy2,1,3,RaidCard:4,,,3,FALSE,1,0,0,0,1,0,2.64E+05,2.64E+05,2.64E+05,
1,6,Area4,Enemy3,1,4,PetsLvl1:2,,,3,FALSE,1,0,0,0,1,0,3.03E+05,3.03E+05,3.03E+05,
1,7,Area1,Enemy5,1,4,RaidWildcard:4,,,3,FALSE,1,0,0,0,1,0,3.43E+05,3.43E+05,3.43E+05,
1,8,Area2,Enemy2,1,4,Equipment:2,,,3,FALSE,1,0,0,0,1,0,3.82E+05,3.82E+05,3.82E+05,
1,9,Area3,Enemy3,1,4,RaidCard:6,,,3,FALSE,1,0,0,0,1,0,4.22E+05,4.22E+05,4.22E+05,
1,10,Area4,"Enemy5,Enemy2,Enemy3",1,4,"SkillPoint:1,EquipmentShards:10",,,3,FALSE,1,0,0,0,1,0,4.61E+05,4.61E+05,4.61E+05,
2,1,Area4,Enemy4,1,3,RaidCard:4,,,3,FALSE,1,0,0,0,1,0,2.74E+05,2.74E+05,2.74E+05,
2,2,Area1,Enemy1,1,3,PetsLvl1:1,,,3,FALSE,1,0,0,0,1,0,3.06E+05,3.06E+05,3.06E+05,
2,3,Area2,Enemy3,1,3,RaidWildcard:2,,,3,FALSE,1,0,0,0,1,0,3.37E+05,3.37E+05,3.37E+05,
2,4,Area3,Enemy6,1,4,Equipment:1,,,3,TRUE,1,0,0,0,1,0,2.08E+05,2.08E+05,4.15E+05,
2,5,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy6",1,4,RaidCard:4,,,3,TRUE,1,0,0,0,1,0,2.31E+05,2.31E+05,4.61E+05,
2,6,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy6",1,4,PetsLvl1:2,,,3,TRUE,1,0,0,0,1,0,2.65E+05,2.65E+05,5.29E+05,
2,7,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy6",1,4,RaidWildcard:4,,,3,TRUE,1,0,0,0,1,0,2.99E+05,2.99E+05,5.97E+05,
2,8,Area3,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy6",1,4,Equipment:2,,,3,TRUE,1,0,0,0,1,0,3.33E+05,3.33E+05,6.66E+05,
2,9,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy6",1,5,RaidCard:6,,,3,TRUE,1,0,0,0,1,0,3.67E+05,3.67E+05,7.34E+05,
2,10,Area1,Enemy6,1,5,"SkillPoint:1,EquipmentShards:10",,,3,TRUE,1,0,0,0,1,0,4.01E+05,4.01E+05,8.02E+05,
3,1,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,RaidCard:4,,,3,FALSE,1,0,0,0,1,0,4.78E+05,4.78E+05,4.78E+05,
3,2,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,PetsLvl1:1,,,3,FALSE,1,0,0,0,1,0,5.33E+05,5.33E+05,5.33E+05,
3,3,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,RaidWildcard:2,,,3,FALSE,1,0,0,0,1,0,5.87E+05,5.87E+05,5.87E+05,
3,4,Area4,Enemy6,1,5,Equipment:1,,,3,TRUE,1,0,0,0,1,0,3.61E+05,3.61E+05,7.22E+05,
3,5,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,RaidCard:4,,,3,TRUE,1,0,0,0,1,0,4.01E+05,4.01E+05,8.02E+05,
3,6,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,PetsLvl1:2,,,3,TRUE,1,0,0,0,1,0,4.61E+05,4.61E+05,9.22E+05,
3,7,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,RaidWildcard:4,,,3,TRUE,1,0,0,0,1,0,5.21E+05,5.21E+05,1.04E+06,
3,8,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,Equipment:2,,,3,TRUE,1,0,0,0,1,0,5.81E+05,5.81E+05,1.16E+06,
3,9,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,RaidCard:6,,,3,TRUE,1,0,0,0,1,0,6.42E+05,6.42E+05,1.28E+06,
3,10,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,"SkillPoint:1,EquipmentShards:10",,,3,TRUE,1,0,0,0,1,0,7.02E+05,7.02E+05,1.40E+06,
4,1,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,RaidCard:4,,,3,FALSE,1,0,0,0,1,0,8.34E+05,8.34E+05,8.34E+05,
4,2,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,PetsLvl1:1,,,3,FALSE,1,0,0,0,1,0,9.30E+05,9.30E+05,9.30E+05,
4,3,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,RaidWildcard:2,,,3,FALSE,1,0,0,0,1,0,1.03E+06,1.03E+06,1.03E+06,
4,4,Area3,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,Equipment:1,,,3,TRUE,1,0,0,0,1,0,6.32E+05,6.32E+05,1.26E+06,
4,5,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,RaidCard:4,,,3,TRUE,1,0,0,0,1,0,7.02E+05,7.02E+05,1.40E+06,
4,6,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,PetsLvl1:2,,,3,TRUE,1,0,0,0,1,0,7.82E+05,7.82E+05,1.56E+06,
4,7,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,RaidWildcard:4,,,3,TRUE,1,0,0,0,1,0,8.63E+05,8.63E+05,1.73E+06,
4,8,Area3,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,Equipment:2,,,3,TRUE,1,0,0,0,1,0,9.44E+05,9.44E+05,1.89E+06,
4,9,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,RaidCard:6,,,3,TRUE,1,0,0,0,1,0,1.02E+06,1.02E+06,2.05E+06,
4,10,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,5,"SkillPoint:1,EquipmentShards:10",,,3,TRUE,1,0,1,0,1,0,9.39E+05,9.39E+05,2.21E+06,
5,1,Area3,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidCard:4,,,3,FALSE,1,0,0,0,1,0,1.38E+06,1.38E+06,1.38E+06,
5,2,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,PetsLvl1:1,,,3,FALSE,1,0,0,0,1,0,1.51E+06,1.51E+06,1.51E+06,
5,3,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidWildcard:2,,,3,FALSE,1,0,0,0,1,0,1.64E+06,1.64E+06,1.64E+06,
5,4,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,Equipment:1,,,3,TRUE,1,0,0,0,1,0,9.95E+05,9.95E+05,1.99E+06,
5,5,Area3,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidCard:4,,,3,TRUE,1,0,1,0,1,0,9.39E+05,9.39E+05,2.21E+06,
5,6,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,PetsLvl1:2,,,3,TRUE,1,0,1,0,1,0,9.78E+05,9.78E+05,2.30E+06,
5,7,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidWildcard:4,,,3,TRUE,1,0,1,0,1,0,1.02E+06,1.02E+06,2.39E+06,
5,8,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,Equipment:2,,,3,TRUE,1,0,1,0,1,0,1.05E+06,1.05E+06,2.48E+06,
5,9,Area3,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidCard:6,,,3,TRUE,1,0,1,0,1,0,1.09E+06,1.09E+06,2.57E+06,
5,10,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,"SkillPoint:1,EquipmentShards:10",,,3,TRUE,1,0,1,0,1,0,1.13E+06,1.13E+06,2.66E+06,
6,1,Area1,"Enemy2,Enemy5",1,6,RaidCard:4,,,3,FALSE,1,1,0,0,1,0,2.29E+06,2.29E+06,1.91E+06,
6,2,Area2,"Enemy2,Enemy5",1,6,PetsLvl1:1,,,3,FALSE,1,0,1,0,1,0,1.69E+06,1.69E+06,1.98E+06,
6,3,Area3,"Enemy2,Enemy5",1,6,RaidWildcard:2,,,3,FALSE,1,1,0,0,1,0,2.47E+06,2.47E+06,2.06E+06,
6,4,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,Equipment:1,,,3,TRUE,1,0,1,0,1,0,1.02E+06,1.02E+06,2.39E+06,
6,5,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidCard:4,,,3,TRUE,1,1,0,0,1,0,1.60E+06,1.60E+06,2.66E+06,
6,6,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,PetsLvl1:2,,,3,TRUE,1,0,1,0,1,0,1.17E+06,1.17E+06,2.75E+06,
6,7,Area3,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidWildcard:4,,,3,TRUE,1,1,0,0,1,0,1.71E+06,1.71E+06,2.84E+06,
6,8,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,Equipment:2,,,3,TRUE,1,0,1,0,1,0,1.25E+06,1.25E+06,2.93E+06,
6,9,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidCard:6,,,3,TRUE,1,1,0,0,1,0,1.81E+06,1.81E+06,3.02E+06,
6,10,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,"SkillPoint:1,EquipmentShards:10",,,3,TRUE,1,0,1,0,1,0,1.32E+06,1.32E+06,3.12E+06,
7,1,Area1,"Enemy2,Enemy5",1,6,RaidCard:4,,,3,FALSE,1,1,0,0,1,0,2.73E+06,2.73E+06,2.27E+06,
7,2,Area2,"Enemy2,Enemy5",1,6,PetsLvl1:1,,,3,FALSE,1,1,0,0,1,0,2.82E+06,2.82E+06,2.35E+06,
7,3,Area3,"Enemy2,Enemy5",1,6,RaidWildcard:2,,,3,FALSE,1,1,0,0,1,0,2.90E+06,2.90E+06,2.42E+06,
7,4,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,Equipment:1,,,3,TRUE,1,1,0,0,1,0,1.68E+06,1.68E+06,2.80E+06,
7,5,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidCard:4,,,3,TRUE,1,1,0,0,1,0,1.87E+06,1.87E+06,3.12E+06,
7,6,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,PetsLvl1:2,,,3,TRUE,1,1,0,0,1,0,1.93E+06,1.93E+06,3.21E+06,
7,7,Area3,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidWildcard:4,,,3,TRUE,1,1,0,0,1,0,1.98E+06,1.98E+06,3.30E+06,
7,8,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,Equipment:2,,,3,TRUE,1,1,0,0,1,0,2.04E+06,2.04E+06,3.39E+06,
7,9,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidCard:6,,,3,TRUE,1,1,0,0,1,0,2.09E+06,2.09E+06,3.49E+06,
7,10,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,"SkillPoint:1,EquipmentShards:10",,,3,TRUE,1,1,0,0,1,0,2.15E+06,2.15E+06,3.58E+06,
8,1,Area1,"Enemy2,Enemy5",1,6,RaidCard:4,,,3,FALSE,1,1,1,0,1,0,2.69E+06,2.69E+06,2.64E+06,
8,2,Area1,"Enemy2,Enemy5",1,6,PetsLvl1:1,,,3,FALSE,1,1,1,0,1,0,2.77E+06,2.77E+06,2.72E+06,
8,3,Area1,"Enemy2,Enemy5",1,6,RaidWildcard:2,,,3,FALSE,1,1,1,0,1,0,2.84E+06,2.84E+06,2.79E+06,
8,4,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,Equipment:1,,,3,TRUE,1,1,1,0,1,0,1.64E+06,1.64E+06,3.22E+06,
8,5,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidCard:4,,,3,TRUE,1,1,1,0,1,0,1.83E+06,1.83E+06,3.58E+06,
8,6,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,PetsLvl1:2,,,3,TRUE,1,1,1,0,1,0,1.87E+06,1.87E+06,3.67E+06,
8,7,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidWildcard:4,,,3,TRUE,1,1,1,0,1,0,1.92E+06,1.92E+06,3.77E+06,
8,8,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,Equipment:2,,,3,TRUE,1,1,1,0,1,0,1.97E+06,1.97E+06,3.86E+06,
8,9,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,RaidCard:6,,,3,TRUE,1,1,1,0,1,0,2.02E+06,2.02E+06,3.95E+06,
8,10,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7",1,6,"SkillPoint:1,EquipmentShards:10",,,3,TRUE,1,1,1,0,1,0,2.06E+06,2.06E+06,4.05E+06,
9,1,Area3,Enemy8,1,7,RaidCard:4,,,3,TRUE,1,1,1,0,1,0,1.54E+06,1.54E+06,3.01E+06,
9,2,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,PetsLvl1:1,,,3,TRUE,1,1,1,0,1,0,1.57E+06,1.57E+06,3.09E+06,
9,3,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,RaidWildcard:2,,,3,TRUE,1,1,1,0,1,0,1.61E+06,1.61E+06,3.16E+06,
9,4,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,Equipment:1,,,3,TRUE,1,1,1,0,1,0,1.86E+06,1.86E+06,3.64E+06,
9,5,Area3,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,RaidCard:4,,,3,TRUE,1,1,1,0,1,0,2.06E+06,2.06E+06,4.05E+06,
9,6,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,PetsLvl1:2,,,3,TRUE,1,1,1,0,1,0,2.10E+06,2.10E+06,4.13E+06,
9,7,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,RaidWildcard:4,,,3,TRUE,1,1,1,0,1,0,2.14E+06,2.14E+06,4.20E+06,
9,8,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,Equipment:2,,,3,TRUE,1,1,1,0,1,0,2.18E+06,2.18E+06,4.28E+06,
9,9,Area3,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,RaidCard:6,,,3,TRUE,1,1,1,0,1,0,2.22E+06,2.22E+06,4.36E+06,
9,10,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,"SkillPoint:1,EquipmentShards:10",,,3,TRUE,1,1,1,0,1,0,2.26E+06,2.26E+06,4.44E+06,
10,1,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,RaidCard:4,,,3,TRUE,1,1,1,0,1,0,1.72E+06,1.72E+06,3.36E+06,
10,2,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,PetsLvl1:1,,,3,TRUE,1,1,1,0,1,0,1.75E+06,1.75E+06,3.43E+06,
10,3,Area3,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,RaidWildcard:2,,,3,TRUE,1,1,1,0,1,0,1.78E+06,1.78E+06,3.49E+06,
10,4,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,Equipment:1,,,3,TRUE,1,1,1,0,1,0,2.04E+06,2.04E+06,4.00E+06,
10,5,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,RaidCard:4,,,3,TRUE,1,1,1,0,1,0,2.26E+06,2.26E+06,4.44E+06,
10,6,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,PetsLvl1:2,,,3,TRUE,1,1,1,0,1,0,2.34E+06,2.34E+06,4.58E+06,
10,7,Area3,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,RaidWildcard:4,,,3,TRUE,1,1,1,0,1,0,2.41E+06,2.41E+06,4.72E+06,
10,8,Area4,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,Equipment:2,,,3,TRUE,1,1,1,0,1,0,2.48E+06,2.48E+06,4.87E+06,
10,9,Area1,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,RaidCard:6,,,3,TRUE,1,1,1,0,1,0,2.55E+06,2.55E+06,5.01E+06,
10,10,Area2,"Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Enemy6,Enemy7,Enemy8",1,7,"SkillPoint:1,EquipmentShards:10",SoloRaidWorld1,,3,TRUE,1,1,1,1,1,0,2.55E+06,2.55E+06,5.15E+06,
11,1,Area4,"Enemy2,Enemy5,Enemy8",1,7,RaidCard:4,,,3,FALSE,1,1,1,0,1,0,3.85E+06,3.85E+06,3.78E+06,
11,2,Area1,"Enemy2,Enemy5,Enemy8",1,7,PetsLvl1:1,,,3,FALSE,1,1,1,0,1,0,3.97E+06,3.97E+06,3.89E+06,
11,3,Area2,"Enemy2,Enemy5,Enemy8",1,7,RaidWildcard:2,,,3,FALSE,1,1,1,0,1,0,4.09E+06,4.09E+06,4.01E+06,
11,4,Area3,"Enemy2,Enemy5,Enemy8",1,7,Equipment:1,,,3,FALSE,1,1,1,0,1,0,4.73E+06,4.73E+06,4.63E+06,
