StickerID,StickerImage,IsDefault
0,Default1,TRUE
1,Default2,TRUE
2,Default3,TRUE
3,Default4,TRUE
4,Default5,TRUE
5,Default6,TRUE
6,SMFacepalm,FALSE
7,SMFingerguns,FALSE
8,SMKekw,FALSE
9,SMLove,FALSE
10,SMLurk,FALSE
11,SMPoggies,FALSE
12,SMSad,FALSE
13,SMShrug,FALSE
14,SMSnooze,FALSE
15,SMSweatdrop,FALSE
16,SMThinking,FALSE
17,SMThx,FALSE
18,SMWhoa,FALSE
19,NovaAngel,FALSE
20,NovaDead,FALSE
21,NovaHappy,FALSE
22,NovaMad,FALSE
23,NovaPlea,FALSE
24,NovaSad,FALSE
25,NovaShock,FALSE
26,NovaShy,FALSE
