StartRank,EndRank,PrizeType,PrizeID,TierID,Rewards,ResourceRewards,AvatarReward,Diamonds,TitanPoint,HolidayCurrency,SkillPoint,Perk,EquipmentShards,Pet,Weapon,PremiumWeapon
0,0,Type1,10011,N,"Avatar:AvatarSuperTournament1,Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40","Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40",Avatar:AvatarSuperTournament1,2400,600,300,50,40,0,0,0,0
1,1,Type1,10011,M,"Avatar:AvatarSuperTournament1,Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40","Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40",Avatar:AvatarSuperTournament1,2400,600,300,50,40,0,0,0,0
2,2,Type1,10011,L,"Avatar:AvatarSuperTournament2,Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40","Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40",Avatar:AvatarSuperTournament2,2400,600,300,50,40,0,0,0,0
3,3,Type1,10011,K,"Avatar:AvatarSuperTournament3,Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40","Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40",Avatar:AvatarSuperTournament3,2400,600,300,50,40,0,0,0,0
4,4,Type1,10011,J,"Avatar:AvatarSuperTournament4,Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40","Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40",Avatar:AvatarSuperTournament4,2400,600,300,50,40,0,0,0,0
5,5,Type1,10011,J,"Avatar:AvatarSuperTournament4,Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40","Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40",Avatar:AvatarSuperTournament4,2400,600,300,50,40,0,0,0,0
6,6,Type1,10011,J,"Avatar:AvatarSuperTournament4,Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40","Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40",Avatar:AvatarSuperTournament4,2400,600,300,50,40,0,0,0,0
7,8,Type1,10011,J,"Avatar:AvatarSuperTournament4,Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40","Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40",Avatar:AvatarSuperTournament4,2400,600,300,50,40,0,0,0,0
9,10,Type1,10011,I,"Avatar:AvatarSuperTournament4,Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40","Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40",Avatar:AvatarSuperTournament4,2400,600,300,50,40,0,0,0,0
0,0,Type1,10010,N,"Avatar:AvatarSuperTournament1,Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40","Diamonds:2400,TitanPoints:600,HolidayCurrency:300,SkillPoint:50,Perk:40",Avatar:AvatarSuperTournament1,2400,600,300,50,40,0,0,0,0
