TitanID,MonsterType,MonsterVariant,Name,Rarity,Type,SubType,BonusType,BaseEffect,EffectPerLevel,GrowthExpo,BonusIcon,IsActive,MaxLevel,1,10,25,100
Titan0,Animal,1,Ohangry,0,Maingame,Warlord,ClanShipDamage,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan1,Animal,2,Ohohono,0,Maingame,Summoner,PetDamage,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan2,Animal,3,Ohwhawhawhat,0,Maingame,Sorcerer,ShadowCloneSkillAmount,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan3,BallOfFury,1,Pyro Rock,0,Maingame,Knight,BurstDamageSkillAmount,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan4,BallOfFury,2,Hydro Rock,0,Maingame,Rogue,UltraDaggerDamage,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan5,BallOfFury,3,Eerrrth Rock,0,Maingame,Alchemist,GoldGunDamage,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan6,Beast,1,Wuur Wolfe,0,Maingame,None,GoldAll,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan7,Beast,2,Bruiser,0,Maingame,None,ChestAmount,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan8,Beast,3,DogDoug,0,Maingame,None,GoldBoss,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan9,Bob,1,Snow Pa,0,Maingame,None,JackpotGold,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan10,Bob,2,Red Pa,0,Maingame,Warlord,AllHelperDamage,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan11,Bob,3,Wise Oji,0,Maingame,Alchemist,AlchemistBonusBoost,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan12,Buggy,1,Scurdy Mite,0,Maingame,Summoner,PaladinBonusBoost,0.00E+00,0,1.1532,Boost,TRUE,200,1.15E+00,4.16E+00,3.53E+01,1.55E+06
Titan13,Buggy,2,Mr Mite,0,Maingame,Knight,KnightBonusBoost,0.00E+00,0,1.0997,Boost,TRUE,200,1.10E+00,2.59E+00,1.08E+01,1.34E+04
Titan14,Buggy,3,Serio Mite,0,Maingame,Sorcerer,SorcererBonusBoost,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan15,CardFolks,1,Alpha Heart,0,Maingame,Rogue,RogueBonusBoost,0.00E+00,0,1.1666,Boost,TRUE,200,1.17E+00,4.67E+00,4.71E+01,4.93E+06
Titan16,CardFolks,2,Beta Diamond,0,Maingame,Warlord,WarlordBonusBoost,0.00E+00,0,1.0997,Boost,TRUE,200,1.10E+00,2.59E+00,1.08E+01,1.34E+04
Titan17,Doppio,1,Sadness Core,0,Maingame,None,KronusComboBoost,0.00E+00,0,1.2391,Boost,TRUE,200,1.24E+00,8.53E+00,2.13E+02,2.04E+09
Titan18,Doppio,2,Anger Core,0,Maingame,None,LanceComboBoost,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan19,Doppio,3,Envy Core,0,Maingame,None,NohniComboBoost,0.00E+00,0,1.2093,Boost,TRUE,200,1.21E+00,6.69E+00,1.16E+02,1.80E+08
Titan20,EarthGuru,1,Earth Golum,0,Maingame,None,SajeComboBoost,0.00E+00,0,1.2391,Boost,TRUE,200,1.24E+00,8.53E+00,2.13E+02,2.04E+09
Titan21,EarthGuru,2,Spirit Golum,0,Maingame,None,SophiaComboBoost,0.00E+00,0,1.2391,Boost,TRUE,200,1.24E+00,8.53E+00,2.13E+02,2.04E+09
Titan22,Flower,1,Ara Flora Sister,0,Maingame,None,HandOfMidasSkillAmount,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan23,Flower,2,Tony Stalk,0,Maingame,None,HelperBoostSkillAmount,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
Titan24,Flower,3,Lizzie Flora Sister,0,Maingame,None,CritBoostSkillAmount,0.00E+00,0,1.4625,Boost,TRUE,200,1.46E+00,4.48E+01,1.34E+04,3.23E+16
Titan25,Flower,4,Sunni Flora Sister,0,Maingame,None,TapBoostSkillAmount,0.00E+00,0,1.3299,Boost,TRUE,200,1.33E+00,1.73E+01,1.25E+03,2.41E+12
