StartRank,EndRank,PrizeType,PrizeID,TierID,Rewards,Diamonds,TitanPoint,HolidayCurrency,SkillPoint,PerkTicket,EquipmentShards,Pet,Weapon,PremiumWeapon,AnniversaryMinigameCurrency
0,10,Type1,11,N,"Diamonds:1200,TitanPoints:300,HolidayCurrency:300,SkillPoint:25,PerkTicket:200,AnniversaryMinigameCurrency:100",1200,300,300,25,200,0,0,0,0,100
0,0,Type1,10,N,"Diamonds:1200,TitanPoints:300,HolidayCurrency:300,SkillPoint:25,PerkTicket:200,AnniversaryMinigameCurrency:100",1200,300,300,25,200,0,0,0,0,100
1,1,Type1,10,M,"Diamonds:700,TitanPoints:200,HolidayCurrency:250,SkillPoint:15,PerkTicket:120,AnniversaryMinigameCurrency:80",700,200,250,15,120,0,0,0,0,80
2,2,Type1,10,L,"Diamonds:550,TitanPoints:150,HolidayCurrency:230,SkillPoint:12,PerkTicket:100,AnniversaryMinigameCurrency:70",550,150,230,12,100,0,0,0,0,70
3,3,Type1,10,K,"Diamonds:450,TitanPoints:125,HolidayCurrency:200,SkillPoint:10,PerkTicket:90,AnniversaryMinigameCurrency:60",450,125,200,10,90,0,0,0,0,60
4,4,Type1,10,J,"Diamonds:400,TitanPoints:100,HolidayCurrency:180,SkillPoint:10,PerkTicket:80,AnniversaryMinigameCurrency:50",400,100,180,10,80,0,0,0,0,50
5,5,Type1,10,J,"Diamonds:350,TitanPoints:80,HolidayCurrency:160,SkillPoint:7,PerkTicket:70,AnniversaryMinigameCurrency:40",350,80,160,7,70,0,0,0,0,40
6,6,Type1,10,J,"Diamonds:300,TitanPoints:70,HolidayCurrency:140,SkillPoint:7,PerkTicket:60,AnniversaryMinigameCurrency:30",300,70,140,7,60,0,0,0,0,30
7,8,Type1,10,J,"Diamonds:250,TitanPoints:60,HolidayCurrency:120,SkillPoint:5,PerkTicket:50,AnniversaryMinigameCurrency:20",250,60,120,5,50,0,0,0,0,20
9,10,Type1,10,I,"Diamonds:200,TitanPoints:50,HolidayCurrency:100,SkillPoint:5,PerkTicket:40,AnniversaryMinigameCurrency:10",200,50,100,5,40,0,0,0,0,10
0,0,Type1,9,N,"Diamonds:1200,TitanPoints:250,HolidayCurrency:300,SkillPoint:25,PerkTicket:200,AnniversaryMinigameCurrency:100",1200,250,300,25,200,0,0,0,0,100
1,1,Type1,9,M,"Diamonds:650,TitanPoints:150,HolidayCurrency:250,SkillPoint:15,PerkTicket:120,AnniversaryMinigameCurrency:80",650,150,250,15,120,0,0,0,0,80
2,2,Type1,9,L,"Diamonds:500,TitanPoints:125,HolidayCurrency:230,SkillPoint:12,PerkTicket:100,AnniversaryMinigameCurrency:70",500,125,230,12,100,0,0,0,0,70
3,3,Type1,9,K,"Diamonds:400,TitanPoints:100,HolidayCurrency:200,SkillPoint:10,PerkTicket:80,AnniversaryMinigameCurrency:60",400,100,200,10,80,0,0,0,0,60
4,4,Type1,9,J,"Diamonds:350,TitanPoints:80,HolidayCurrency:180,SkillPoint:10,PerkTicket:70,AnniversaryMinigameCurrency:50",350,80,180,10,70,0,0,0,0,50
5,6,Type1,9,J,"Diamonds:300,TitanPoints:60,HolidayCurrency:160,SkillPoint:7,PerkTicket:60,AnniversaryMinigameCurrency:40",300,60,160,7,60,0,0,0,0,40
7,10,Type1,9,J,"Diamonds:250,TitanPoints:50,HolidayCurrency:140,SkillPoint:5,PerkTicket:50,AnniversaryMinigameCurrency:30",250,50,140,5,50,0,0,0,0,30
11,15,Type1,9,I,"Diamonds:200,TitanPoints:40,HolidayCurrency:120,SkillPoint:5,PerkTicket:40,AnniversaryMinigameCurrency:20",200,40,120,5,40,0,0,0,0,20
16,25,Type1,9,I,"Diamonds:150,TitanPoints:35,HolidayCurrency:100,SkillPoint:5,PerkTicket:30,AnniversaryMinigameCurrency:10",150,35,100,5,30,0,0,0,0,10
0,0,Type1,8,N,"Diamonds:1200,TitanPoints:200,HolidayCurrency:300,SkillPoint:25,PerkTicket:200,AnniversaryMinigameCurrency:100",1200,200,300,25,200,0,0,0,0,100
1,1,Type1,8,M,"Diamonds:650,TitanPoints:125,HolidayCurrency:250,SkillPoint:15,PerkTicket:120,AnniversaryMinigameCurrency:80",650,125,250,15,120,0,0,0,0,80
2,2,Type1,8,L,"Diamonds:500,TitanPoints:100,HolidayCurrency:230,SkillPoint:12,PerkTicket:100,AnniversaryMinigameCurrency:70",500,100,230,12,100,0,0,0,0,70
3,4,Type1,8,K,"Diamonds:350,TitanPoints:70,HolidayCurrency:200,SkillPoint:10,PerkTicket:70,AnniversaryMinigameCurrency:60",350,70,200,10,70,0,0,0,0,60
5,7,Type1,8,J,"Diamonds:300,TitanPoints:50,HolidayCurrency:180,SkillPoint:7,PerkTicket:60,AnniversaryMinigameCurrency:50",300,50,180,7,60,0,0,0,0,50
8,10,Type1,8,J,"Diamonds:250,TitanPoints:40,HolidayCurrency:160,SkillPoint:5,PerkTicket:50,AnniversaryMinigameCurrency:40",250,40,160,5,50,0,0,0,0,40
11,20,Type1,8,J,"Diamonds:200,TitanPoints:35,HolidayCurrency:140,SkillPoint:5,PerkTicket:40,AnniversaryMinigameCurrency:30",200,35,140,5,40,0,0,0,0,30
21,30,Type1,8,I,"Diamonds:150,TitanPoints:30,HolidayCurrency:120,SkillPoint:5,PerkTicket:30,AnniversaryMinigameCurrency:20",150,30,120,5,30,0,0,0,0,20
31,50,Type1,8,I,"Diamonds:100,TitanPoints:25,HolidayCurrency:100,SkillPoint:2,PerkTicket:20,AnniversaryMinigameCurrency:10",100,25,100,2,20,0,0,0,0,10
0,0,Type1,7,N,"Diamonds:1000,TitanPoints:200,HolidayCurrency:300,SkillPoint:20,PerkTicket:180,AnniversaryMinigameCurrency:100",1000,200,300,20,180,0,0,0,0,100
1,1,Type1,7,M,"Diamonds:600,TitanPoints:125,HolidayCurrency:250,SkillPoint:12,PerkTicket:120,AnniversaryMinigameCurrency:80",600,125,250,12,120,0,0,0,0,80
2,2,Type1,7,L,"Diamonds:500,TitanPoints:100,HolidayCurrency:230,SkillPoint:10,PerkTicket:100,AnniversaryMinigameCurrency:70",500,100,230,10,100,0,0,0,0,70
3,4,Type1,7,K,"Diamonds:350,TitanPoints:70,HolidayCurrency:200,SkillPoint:7,PerkTicket:70,AnniversaryMinigameCurrency:60",350,70,200,7,70,0,0,0,0,60
5,7,Type1,7,J,"Diamonds:300,TitanPoints:50,HolidayCurrency:180,SkillPoint:7,PerkTicket:60,AnniversaryMinigameCurrency:50",300,50,180,7,60,0,0,0,0,50
8,10,Type1,7,J,"Diamonds:250,TitanPoints:40,HolidayCurrency:160,SkillPoint:5,PerkTicket:50,AnniversaryMinigameCurrency:40",250,40,160,5,50,0,0,0,0,40
11,20,Type1,7,J,"Diamonds:200,TitanPoints:35,HolidayCurrency:140,SkillPoint:5,PerkTicket:40,AnniversaryMinigameCurrency:30",200,35,140,5,40,0,0,0,0,30
21,30,Type1,7,I,"Diamonds:150,TitanPoints:30,HolidayCurrency:120,SkillPoint:5,PerkTicket:30,AnniversaryMinigameCurrency:20",150,30,120,5,30,0,0,0,0,20
31,50,Type1,7,I,"Diamonds:100,TitanPoints:25,HolidayCurrency:100,SkillPoint:2,PerkTicket:20,AnniversaryMinigameCurrency:10",100,25,100,2,20,0,0,0,0,10
0,0,Type1,6,N,"Diamonds:900,TitanPoints:150,HolidayCurrency:300,SkillPoint:17,PerkTicket:150,AnniversaryMinigameCurrency:100",900,150,300,17,150,0,0,0,0,100
1,1,Type1,6,M,"Diamonds:600,TitanPoints:100,HolidayCurrency:250,SkillPoint:12,PerkTicket:100,AnniversaryMinigameCurrency:80",600,100,250,12,100,0,0,0,0,80
2,2,Type1,6,L,"Diamonds:450,TitanPoints:75,HolidayCurrency:230,SkillPoint:10,PerkTicket:80,AnniversaryMinigameCurrency:70",450,75,230,10,80,0,0,0,0,70
3,5,Type1,6,K,"Diamonds:300,TitanPoints:50,HolidayCurrency:200,SkillPoint:7,PerkTicket:60,AnniversaryMinigameCurrency:60",300,50,200,7,60,0,0,0,0,60
6,10,Type1,6,J,"Diamonds:200,TitanPoints:40,HolidayCurrency:180,SkillPoint:5,PerkTicket:50,AnniversaryMinigameCurrency:50",200,40,180,5,50,0,0,0,0,50
11,20,Type1,6,J,"Diamonds:150,TitanPoints:30,HolidayCurrency:160,SkillPoint:5,PerkTicket:40,AnniversaryMinigameCurrency:40",150,30,160,5,40,0,0,0,0,40
21,40,Type1,6,J,"Diamonds:125,TitanPoints:25,HolidayCurrency:140,SkillPoint:5,PerkTicket:30,AnniversaryMinigameCurrency:30",125,25,140,5,30,0,0,0,0,30
41,60,Type1,6,I,"Diamonds:100,TitanPoints:20,HolidayCurrency:120,SkillPoint:2,PerkTicket:20,AnniversaryMinigameCurrency:20",100,20,120,2,20,0,0,0,0,20
61,100,Type1,6,I,"Diamonds:50,TitanPoints:15,HolidayCurrency:100,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:10",50,15,100,2,10,0,0,0,0,10
0,0,Type1,5,N,"Diamonds:700,TitanPoints:100,HolidayCurrency:300,SkillPoint:12,PerkTicket:100,AnniversaryMinigameCurrency:100",700,100,300,12,100,0,0,0,0,100
1,1,Type1,5,M,"Diamonds:450,TitanPoints:70,HolidayCurrency:250,SkillPoint:10,PerkTicket:80,AnniversaryMinigameCurrency:80",450,70,250,10,80,0,0,0,0,80
2,2,Type1,5,L,"Diamonds:350,TitanPoints:50,HolidayCurrency:230,SkillPoint:7,PerkTicket:60,AnniversaryMinigameCurrency:70",350,50,230,7,60,0,0,0,0,70
3,5,Type1,5,K,"Diamonds:250,TitanPoints:35,HolidayCurrency:200,SkillPoint:7,PerkTicket:50,AnniversaryMinigameCurrency:60",250,35,200,7,50,0,0,0,0,60
6,10,Type1,5,K,"Diamonds:200,TitanPoints:30,HolidayCurrency:180,SkillPoint:5,PerkTicket:40,AnniversaryMinigameCurrency:50",200,30,180,5,40,0,0,0,0,50
11,25,Type1,5,J,"Diamonds:150,TitanPoints:25,HolidayCurrency:160,SkillPoint:5,PerkTicket:30,AnniversaryMinigameCurrency:40",150,25,160,5,30,0,0,0,0,40
26,50,Type1,5,I,"Diamonds:100,TitanPoints:20,HolidayCurrency:140,SkillPoint:2,PerkTicket:20,AnniversaryMinigameCurrency:30",100,20,140,2,20,0,0,0,0,30
51,75,Type1,5,I,"Diamonds:75,TitanPoints:15,HolidayCurrency:120,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:20",75,15,120,2,10,0,0,0,0,20
76,130,Type1,5,H,"Diamonds:30,TitanPoints:10,HolidayCurrency:100,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:10",30,10,100,2,10,0,0,0,0,10
0,0,Type1,4,N,"Diamonds:600,TitanPoints:70,HolidayCurrency:300,SkillPoint:10,PerkTicket:80,AnniversaryMinigameCurrency:100",600,70,300,10,80,0,0,0,0,100
1,1,Type1,4,M,"Diamonds:400,TitanPoints:50,HolidayCurrency:250,SkillPoint:7,PerkTicket:60,AnniversaryMinigameCurrency:80",400,50,250,7,60,0,0,0,0,80
2,3,Type1,4,M,"Diamonds:300,TitanPoints:35,HolidayCurrency:230,SkillPoint:7,PerkTicket:50,AnniversaryMinigameCurrency:70",300,35,230,7,50,0,0,0,0,70
4,10,Type1,4,L,"Diamonds:200,TitanPoints:30,HolidayCurrency:200,SkillPoint:5,PerkTicket:40,AnniversaryMinigameCurrency:60",200,30,200,5,40,0,0,0,0,60
11,25,Type1,4,K,"Diamonds:150,TitanPoints:25,HolidayCurrency:180,SkillPoint:5,PerkTicket:30,AnniversaryMinigameCurrency:50",150,25,180,5,30,0,0,0,0,50
26,50,Type1,4,J,"Diamonds:100,TitanPoints:20,HolidayCurrency:160,SkillPoint:2,PerkTicket:20,AnniversaryMinigameCurrency:40",100,20,160,2,20,0,0,0,0,40
51,80,Type1,4,I,"Diamonds:75,TitanPoints:15,HolidayCurrency:140,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:30",75,15,140,2,10,0,0,0,0,30
