FairyID,SpawnWeight,MinStage,MaxStage
VideoAdsActivateAllSkills,10,0,60
VideoAdsActivateAllSkills,30,60,500
VideoAdsActivateAllSkills,30,500,1000
VideoAdsActivateAllSkills,25,1000,5000
VideoAdsActivateAllSkills,30,5000,10000
VideoAdsActivateAllSkills,30,10000,50000
VideoAdsActivateAllSkills,25,50000,999999
VideoAdsCoins,60,0,60
VideoAdsCoins,15,60,500
VideoAdsCoins,5,500,1000
VideoAdsCoins,5,1000,5000
VideoAdsCoins,5,5000,10000
VideoAdsCoins,5,10000,50000
VideoAdsCoins,5,50000,999999
VideoAdsDiamonds,10,0,60
VideoAdsDiamonds,5,60,500
VideoAdsDiamonds,5,500,1000
VideoAdsDiamonds,20,1000,5000
VideoAdsDiamonds,30,5000,10000
VideoAdsDiamonds,35,10000,50000
VideoAdsDiamonds,35,50000,999999
VideoAdsManaRefill,0,0,60
VideoAdsManaRefill,5,60,500
VideoAdsManaRefill,5,500,1000
VideoAdsManaRefill,10,1000,5000
VideoAdsManaRefill,15,5000,10000
VideoAdsManaRefill,10,10000,50000
VideoAdsManaRefill,5,50000,999999
VideoAdsReduceGoldCosts,0,0,60
VideoAdsReduceGoldCosts,0,60,500
VideoAdsReduceGoldCosts,0,500,1000
VideoAdsReduceGoldCosts,0,1000,5000
VideoAdsReduceGoldCosts,0,5000,10000
VideoAdsReduceGoldCosts,0,10000,50000
VideoAdsReduceGoldCosts,0,50000,999999
VideoAdsAllGold,20,0,60
VideoAdsAllGold,20,60,500
VideoAdsAllGold,25,500,1000
VideoAdsAllGold,5,1000,5000
VideoAdsAllGold,5,5000,10000
VideoAdsAllGold,5,10000,50000
VideoAdsAllGold,10,50000,999999
VideoAdsAllDamage,0,0,60
VideoAdsAllDamage,5,60,500
VideoAdsAllDamage,5,500,1000
VideoAdsAllDamage,10,1000,5000
VideoAdsAllDamage,15,5000,10000
VideoAdsAllDamage,15,10000,50000
VideoAdsAllDamage,20,50000,999999
VideoAdsEquipment,0,0,60
VideoAdsEquipment,25,60,500
VideoAdsEquipment,25,500,1000
VideoAdsEquipment,25,1000,5000
VideoAdsEquipment,0,5000,10000
VideoAdsEquipment,0,10000,50000
VideoAdsEquipment,0,50000,999999
